centroid_id,smiles,smiles_sha256,vina_affinity_kcal_mol,inside_fraction_with_padding,triad_min_distance_A,centroid_in_box,vina_out_sha256,vina_log_sha256
47,ClC1=CC(Cl)BC=Cc2nc(c3ccccc3n2)NCCO1,4eeb77069c9f793720c3da70626d0e7e8890ea7a8e7b9d40a258960a6a3eea81,-4.908,1.0,5.10620651756272,True,c5751d93a7460304ca331e311219e0fa1029a4dfa7731b2b0079dd7f4a670ec7,049cc7b3725cf1e56dd4d0b673cb8746f069d36d602e41abc0557626420e8e58
48,OCCNc1nc(NCC=C(Cl)C2=C=C(CCCCCOCCl)CC#CC=C2)nc2ccccc12,adff551308bc0634856f1f771eaa092e1b0040709698c7c1d221b51a05d66db3,-5.449,1.0,4.1710695271117215,True,4a627a6cd71ccbf6d7c6fe722a8c57b1c0401ede0339f5f59ad8f8c6eb406627,ade0996617a2871e1b73ca91197a699803a51dc0960f4afe81b6788f28e4d035
49,CC#CC=NC=CC(C)C(Cl)=CCC1=Nc2cccc(C)c2C1NCCO,689e775b77a9192742e56eb4b5a57c12805fb0d1ef914c549eb76e7291113949,-5.872,1.0,8.912820485121419,True,9451663ab9227ded05a7bbe2651fc7ee78184d32d25c55edb7a87b2d48e134fe,621762434df82f9c3328aaca2ed439066c9ea715d765821f604f95a963ffe804
50,CCCOC(=O)c1cc(O)c2ccccc2c1O,c1cf90699c8af0104479a6fe056c2015abfd91e66ca49c70406d222e0b363956,-6.143,1.0,8.297910881661721,True,6dd48c3a3dc9c7a362fbb270d2b81b44c9e92579e92b685efac1a9c982ceb231,ea23065221e2ce2036e6bd18a5eef40e7e4cd0655c0340ce0379a42be4d55fd1
51,CC[C@@H](CCO)[NH2+][C@@H](c1ccc(F)cc1)c1ccc(Cl)cc1,82dc5a6d5e83c537e8dbbd7c7870c69b7b3d0382ef44d2140679250c21f444b4,-5.831,1.0,8.282243657367248,True,c2647007527894fc715019944521a0c03546d1f141e1b3c687bcb7a5e2c52e27,bf4f1dc29b076da381fefa389428fc928ae06c48d77314596dbd731943198016
52,Cc1ccc(CN2CCN(Cc3cc(O)ccc3C)CC2)cc1,816277b3165c78e16d6c36dafc3cd68f1110c96ba4f2cbc33d2bfa8dee73966f,-6.206,1.0,8.856776953271433,True,16bb6c0f09ec096ca3343fc0da8706472ab86e4542892302d569256d798dad37,70d1b143f02a203f9268f1559c124e844bd9f84511327c20950460aa8fe9c434
53,C#CC(N=C(N)NC1=CC=C(Br)C=C1)C(C)C,2963a1ec9cbd17c483eca38de29b3d7f9cd9cf20b4637f8f53f1847da85ad30a,-5.659,1.0,9.579067699938236,True,3a95dc000a3d366525b5a6e8eb6d037d24fe0e50efbc755e6fbdbb3e08be9e8c,d77b561802727c544e131b589ca29a85b20b5c42268697229c1a16a76e2e045e
54,ClC1=CC(Cl)NCN=C2CCNC=CC2NCCOCC=C1,ee07e39a9d0776ff2b77da4e480010e7547944af29152555fbb6f80b73464d9e,-3.105,1.0,2.708031203660699,True,5a8a79220661a31103634e69c574041cf8906d70e22e73022b85be9858e55785,04929c9165e42312cb94b3b8cbe4c45992a3a0af5d462e1f4cbca21caf5f3670
55,CC(C)CN=C(N)NC1=CC=CC(O)=C1,f9b3a35d29e6889f530eb9040ecafd3d13cb7322769741a5f48361e873e3ff63,-5.782,1.0,8.910909830090304,True,f85b98bc5b3d25250e871460601b2eda25cc714733938bc64eaa4187e444c41f,9d40fcb3272a75e417508ce9e44cd8562a8d70e0c910e186eab4e781f0b577ef
56,O=C(O)C1=CC=CC(C(=O)C=CC2=CC=CC(O)=C2)=C1,b96e9a3db9df8707c4504a0ef113ae64ae77b8258458632540c6f9a7ad2ac0d4,-7.308,1.0,8.84068402330951,True,16916e25f9e125b43664c9b727699d66b347b05e5d69be019f03c896c1ca8688,27b2dfd4c78714573080eb8c2031b5ab6543a0264fe15c70d278af39350c3d12
57,[N+]#CCNC1C=C=CC=CN=C(C(N)=CCC=CCl)NO1,cd7decce575988aeaab855e481496a56a9b48a8a0a0c131f6b25f2ab2fbe91fc,-4.074,1.0,2.9500984729327286,True,e66632dd1840c0d7365079da5f109e07905fdd336455eef268c16ed2b06f9cde,b699fc1c26218dc2a70cb722d9dd32292c0e41b392bc2fbc0ec1880b08efca4a
58,CCCOC[C@@H](C)Oc1c(C(C)=O)cc(OC)c2ccccc21,66e81f4f8e7d523ee9afd08b3bd2af1456231e538579f3bc2385e4d0bad868b2,-5.242,1.0,4.891627336582376,True,03b730d6e30f628761ba3ecac1bb3aec4cb531db3d195037f91dcc39f6fa9ce6,4cade0815528b8d902fb2e9b65a31b157e3f7f94c949a73abe2c25f810aaa956
59,CCN1C(SCC(=O)NC2=CC(Cl)=CC=C2Cl)=NC2=CC=C(F)C=C2C1=O,3c590c048b63950e32cd026714ca50be44f5e5afda9a32152d8473d8eb7daacd,-6.005,1.0,3.4997264178789753,True,e2e4e344ee52521a2434d01721207224c2dabe00453ed827ad79215972d9b1a1,67f5b2eecc4327c47eba804e4b928bb38ec177c66af89b8f2c072256dc05eaaf
60,ClC1C=CC(NC2=Nc3ccccc3CCN=N2)=[C-]C1,68f59ae7c476dba069e2b3c049e36194ff4b7a9e96e7575eac4ace10e139b1e9,-4.87,1.0,8.778906139149685,True,306d171939f7e63bfa47c5678a2a1dd1e829378cb508241ebcbd8c0b516556fe,d03784113f27f054ffab5abff67618ae0cba8b005c781537980d7d95f93e4f8b
61,OCCNCc1nc(Nc2ccc(Cl)c(Cl)c2)nc2ccccc12,a99e5fa41b7568b1b1cde2608f178c49901810f9e9a1dd49515d1f24efb56f53,-6.438,1.0,7.204176844025971,True,7bc4a948a1f64f1df163f403afb498a27f69460a9719ea085408d79523874a7d,35157b42c5fb3ef1ac5c7829c3a9f809c14f4bfc3408ca2a7364b99460c704f2
62,Cc1ccc(OCCC(=O)OCCCCCO)c(C)c1,c97faf641f692db2c9191338b9917a415a233f5af9d4ba1e095a42ced008307f,-4.884,1.0,3.0685757282491815,True,7c055ab731ff8696390b49b5c4eb27a3f69007626373f58d3e5efa2a5a3781c0,6fd51fd95d1970f811886bcb04ef34b8ba850cec8bc6c9f140a59499402ffc28
63,COC1=CC(O)=CC=C1C=CC(=O)C1=CC=C(O)C([N+](=O)[O-])=C1,7efe5c8866d48b49419f3c900b60c16c6a2ec90d651457ac9d3a17c611421290,-7.124,1.0,7.360233012615838,True,0c5193eb8f2ba1a79cd2783743314a3b31e6c6963365c2e66f42dc0a81b73c52,a50038e565005e4826d3be41713cf748939e9eb850c74e4f7559d95f36278647
64,C[C@H]1C[C@@H](C)CN(C(=O)C2=CC(Cl)=CC=C2[N+](=O)[O-])C1,d68d4e57e6ab5fba14b0cec460a326eaaaa97f6404f9fa8b50e04b5d9a6a5a0d,-5.888,1.0,3.4964782281604445,True,a530a7195998f780fa0ec65bd0db63dbe302ffa02e5c6856e3ae21e91c8b51ce,632cfe5159e1a9a055b8c6be0be151cc47072469708760351410e755ad1a0645
65,CCCOC(=O)C=CC1=CC=C(CC)C=C1,02d43584d794d21d6397b4cee0269c26298d5aa76955f151ee185c473973099e,-5.452,1.0,7.92835859431194,True,3412026c55ed2d7e931b0fad6d7629e331a76de398ac2b3457810985662497ef,89f3c8e7c93c5e3ac93ddde921bfe1ff2ff6c66fabbea25e266cbd1d6cd846fa
66,COCNC1=NC2=NC(=CC=C1)CC=C(Cl)C(Cl)=C2,6df4b8a5a9fa9b4ab4c0bdf534275f531c7610276e707f994a769c31f31683f1,-4.004,1.0,8.036201154774563,True,d986f49a5093c06ca2e8dc6eaaa2ab3867b8328a21286d52e5607d4e0873c690,8352d4208b09256c4a603b0c8da8cede8949801842b287c4a00f9d938acae5de
