Ligand,Vina_Score,Vinardo_Score,Best_Score,Category
ligand_436,-9.416,-5.144,-9.416,EXCELLENT
ligand_437,-8.304,-5.242,-8.304,GOOD
ligand_438,-6.732,-5.27,-6.732,OTHERS
ligand_439,-5.788,-5.055,-5.788,OTHERS
ligand_440,-6.661,-5.085,-6.661,OTHERS
ligand_441,-7.042,-5.229,-7.042,GOOD
ligand_442,-6.348,-5.075,-6.348,OTHERS
ligand_443,-6.334,-5.262,-6.334,OTHERS
ligand_445,-7.905,-5.959,-7.905,GOOD
ligand_446,-6.446,-4.724,-6.446,OTHERS
ligand_447,-8.274,-5.613,-8.274,GOOD
ligand_448,-6.597,-4.535,-6.597,OTHERS
ligand_449,-6.629,-5.04,-6.629,OTHERS
ligand_44,-5.841,-4.62,-5.841,OTHERS
ligand_450,-7.41,-5.411,-7.41,GOOD
ligand_451,-4.905,-3.977,-4.905,OTHERS
ligand_452,-6.525,-4.716,-6.525,OTHERS
ligand_453,-6.81,-5.846,-6.81,OTHERS
ligand_454,-7.961,-4.856,-7.961,GOOD
ligand_455,-8.417,-5.284,-8.417,GOOD
ligand_456,-6.371,-5.205,-6.371,OTHERS
ligand_457,-6.665,-4.903,-6.665,OTHERS
ligand_458,-6.667,-5.286,-6.667,OTHERS
ligand_459,-5.959,-4.92,-5.959,OTHERS
ligand_45,-5.36,-4.042,-5.36,OTHERS
ligand_461,-5.774,-4.452,-5.774,OTHERS
ligand_462,-6.784,-4.935,-6.784,OTHERS
ligand_463,-7.793,-5.711,-7.793,GOOD
ligand_464,-7.527,-5.704,-7.527,GOOD
ligand_465,-5.352,-4.165,-5.352,OTHERS
ligand_466,-8.206,-5.963,-8.206,GOOD
ligand_467,-7.355,-5.549,-7.355,GOOD
ligand_468,-7.8,-5.232,-7.8,GOOD
ligand_469,-7.069,-5.021,-7.069,GOOD
ligand_46,-7.323,-5.811,-7.323,GOOD
ligand_470,-7.422,-6.393,-7.422,GOOD
ligand_471,-6.715,-6.012,-6.715,OTHERS
ligand_472,-6.905,-5.266,-6.905,OTHERS
ligand_473,-5.111,-4.171,-5.111,OTHERS
ligand_474,-5.047,-3.862,-5.047,OTHERS
ligand_475,-7.894,-5.163,-7.894,GOOD
ligand_48,-8.367,-6.04,-8.367,GOOD
ligand_49,-7.27,-5.344,-7.27,GOOD
ligand_4,-7.605,-5.4,-7.605,GOOD
ligand_50,-6.237,-5.494,-6.237,OTHERS
ligand_51,-6.653,-5.236,-6.653,OTHERS
ligand_52,-7.09,-5.994,-7.09,GOOD
ligand_53,-6.765,-5.41,-6.765,OTHERS
ligand_54,-6.479,-4.95,-6.479,OTHERS
ligand_55,-5.885,-4.8,-5.885,OTHERS
ligand_56,-6.69,-5.825,-6.69,OTHERS
ligand_57,-6.541,-5.003,-6.541,OTHERS
ligand_58,-6.765,-4.979,-6.765,OTHERS
ligand_59,-7.267,-5.409,-7.267,GOOD
ligand_5,-6.731,-5.165,-6.731,OTHERS
ligand_60,-6.48,-5.478,-6.48,OTHERS
ligand_61,-7.167,-5.546,-7.167,GOOD
ligand_62,-6.625,-5.403,-6.625,OTHERS
ligand_63,-7.776,-5.935,-7.776,GOOD
ligand_64,-6.269,-4.781,-6.269,OTHERS
ligand_65,-5.849,-4.962,-5.849,OTHERS
ligand_66,-6.326,-4.444,-6.326,OTHERS
ligand_67,-6.374,-5.077,-6.374,OTHERS
ligand_68,-5.957,-4.709,-5.957,OTHERS
ligand_69,-7.26,-5.3,-7.26,GOOD
ligand_6,-7.291,-5.12,-7.291,GOOD
ligand_71,-5.821,-4.39,-5.821,OTHERS
ligand_72,-5.759,-4.446,-5.759,OTHERS
ligand_74,-7.899,-5.755,-7.899,GOOD
ligand_75,-8.244,-4.905,-8.244,GOOD
ligand_76,-5.976,-4.751,-5.976,OTHERS
ligand_77,-6.866,-5.974,-6.866,OTHERS
ligand_78,-7.141,-5.185,-7.141,GOOD
ligand_79,-3.829,-3.233,-3.829,OTHERS
ligand_7,-6.688,-5.135,-6.688,OTHERS
ligand_80,-7.174,-5.059,-7.174,GOOD
ligand_81,-6.508,-4.368,-6.508,OTHERS
ligand_82,-6.499,-5.066,-6.499,OTHERS
ligand_83,-7.961,-5.971,-7.961,GOOD
ligand_84,-7.685,-5.658,-7.685,GOOD
ligand_85,-7.384,-4.884,-7.384,GOOD
ligand_86,-5.396,-4.218,-5.396,OTHERS
ligand_87,-8.376,-6.723,-8.376,GOOD
ligand_88,-6.316,-5.045,-6.316,OTHERS
ligand_89,-6.128,-4.581,-6.128,OTHERS
ligand_8,-4.428,-3.517,-4.428,OTHERS
ligand_90,-6.955,-5.082,-6.955,OTHERS
ligand_91,-8.528,-5.5,-8.528,GOOD
ligand_92,-6.795,-5.908,-6.795,OTHERS
ligand_93,-6.92,-5.273,-6.92,OTHERS
ligand_94,-6.43,-4.715,-6.43,OTHERS
ligand_95,-7.004,-4.73,-7.004,GOOD
ligand_96,-9.16,-6.166,-9.16,EXCELLENT
ligand_97,-6.195,-4.542,-6.195,OTHERS
ligand_9,-6.022,-5.074,-6.022,OTHERS
