Compound Names,Smiles,chemical_class,chemical_subclass,np_classifier_class,np_classifier_pathway,np_classifier_superclass
3-O-cinnamoylhosloppone,O=C(O[C@H]1CC[C@]2(C(=CC=C3C2=C(O)C(=O)C(=C3)C(C)C)C1(C)C)C)/C=C/c1ccccc1,Alkaloid,Quinoline alkaloid,Quinoline alkaloids,Alkaloids,Anthranilic acid alkaloids
2-hydroxy-3-O-tigloylswietenolide,COC(=O)[C@@H]([C@H]1C(C)(C)[C@H](OC(=O)/C(=C/C)/C)[C@]2(C(=O)[C@]1(C)[C@H]1CC[C@@]3(C(=C1C2)CC(=O)O[C@H]3c1ccoc1)C)O)O,Alkaloid,Spermine alkaloid,Erythromycins,Polyketides,Macrolides
skimmianine,COc1ccc2c(c1OC)nc1c(c2OC)cco1,Alkaloid,Quinoline alkaloid,Quinoline alkaloids,Alkaloids,Anthranilic acid alkaloids
"5,14-dimethylbudmunchiamine L1",CCC1OC(=O)C(C)C(OC2OC(C)C(C(C2)(C)OC)O)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(CC(C(=O)C(C(C1(C)O)O)C)C)(C)O,Alkaloid,Spermine alkaloid,Erythromycins,Polyketides,Macrolides
"5,6-dihydronitidine",COc1cc2c(cc1OC)CN(c1c2ccc2c1cc1c(c2)OCO1)C,Alkaloid,Furoquinoline,Isoquinoline alkaloids,Alkaloids,Tyrosine alkaloids
"5,7,8-trimethoxyflav-3-ene",COc1cc(OC)c2c(c1OC)OC(C=C2)c1ccccc1,Flavonoid,,,Shikimates and phenylpropanoids,
5-normethylbudmunchiamine K,CCCCCCCCCCCCCCCC1NCCCN(C)CCCCN(CCCNC(=O)C1)C,Alkaloid,Spermine alkaloid,Polyamines,Alkaloids,Ornithine alkaloids
"6,11,12,16-tetrahydroxy-5,8,11,13-abietatetra-en-7-one",OCC(c1cc2C(=O)C(=C3[C@@](c2c(c1O)O)(C)CCCC3(C)C)O)C,Terpenoid,Abietane diterpenoid,Abeoabietane diterpenoids,Terpenoids,Diterpenoids
6-(3-methyl-2-butenyl)-1H-indole,CC(=CCc1ccc2c(c1)[nH]cc2)C,Alkaloid,Indole alkaloid,Simple indole alkaloids,Alkaloids,Tryptophan alkaloids
"6-(3-methylbuta-1,3-dienyl)-1H-indole",CC(=C)/C=C/c1ccc2c(c1)[nH]cc2,Alkaloid,Indole alkaloid,Simple indole alkaloids,Alkaloids,Tryptophan alkaloids
"(6',7'-dihydro-8',9'-dihydroxy)-3-farnesindole",C/C(=C\Cc1c[nH]c2c1cccc2)/CCCC(C(C(C=C(C)C)O)O)C,Alkaloid,Indolosequiterpene,Quinoline alkaloids,Alkaloids,Tryptophan alkaloids
6-acetoxy methyl angolensate,COC(=O)C([C@@H]1[C@@]2(C)[C@H](CC(=O)C1(C)C)O[C@@]13C(=C)[C@@H]2CC[C@@]1(C)[C@@H](OC(=O)C3)c1cocc1)OC(=O)C,Terpenoid,Limonoid,Limonoids,Terpenoids,Triterpenoids
6-hydroxy-5-normethylbudmunchiamine K,CCCCCCCCCC(CCCCCC1NCCCN(C)CCCCN(CCCNC(=O)C1)C)O,Alkaloid,Spermine alkaloid,Polyamines,Alkaloids,Ornithine alkaloids
6-hydroxybudmunchiamine K,CCCCCCCCCC(CCCCCC1CC(=O)NCCCN(C)CCCCN(CCCN1C)C)O,Alkaloid,Spermine alkaloid,Polyamines,Alkaloids,Ornithine alkaloids
6-hydroxy methyl angolensate,COC(=O)[C@@H]([C@@H]1[C@@]2(C)[C@H](CC(=O)C1(C)C)O[C@@]13C(=C)[C@@H]2CC[C@@]1(C)[C@@H](OC(=O)C3)c1cocc1)O,Terpenoid,Limonoid,Limonoids,Terpenoids,Triterpenoids
6-hydroxysalvinolone,OC1=C2C(C)(C)CCC[C@@]2(c2c(C1)cc(C(C)C)c(c2O)O)C,Terpenoid,Abietane diterpenoid,Abietane diterpenoids,Terpenoids,Diterpenoids
6-methoxytecleanthine,COc1ccc2c(c1OC)n(C)c1c(c2=O)c(OC)c2c(c1)OCO2,Alkaloid,,Acridone alkaloids,Alkaloids,Anthranilic acid alkaloids
6-O-acetyl-2-hydroxyswietenin,COC(=O)[C@@H]([C@H]1C(C)(C)C(OC(=O)/C(=C/C)/C)[C@]2(C(=O)[C@]1(C)C1CC[C@@]3(C(C1=C2)CC(=O)O[C@H]3c1ccoc1)C)O)OC(=O)C,Terpenoid,Limonoid,Limonoids,Terpenoids,Triterpenoids
6-O-deacetylsecomahoganin,COC(=O)[C@]1(C)[C@H](CC[C@@]2([C@]31O[C@@H]3C(=O)O[C@H]2c1ccoc1)C)[C@@]1(C)C=CC(=O)C([C@@H]1CO)(C)C,Terpenoid,Limonoid,Limonoids,Terpenoids,Triterpenoids
"7,3'-O-dimethylquercetin",COc1cc(O)c2c(c1)oc(c(c2=O)O)c1ccc(c(c1)OC)O,Flavonoid,,Flavonols,Shikimates and phenylpropanoids,Flavonoids
