seed_smiles,max_tanimoto_anpdb
C=CC[C@@]1(COC(C)=O)C[C@H](OC(=O)C(=C)CO)[C@H]2C(=C)C(=O)O[C@@H]2[C@H]1C(=C)C=O,0.5714
C=CC[C@@]12COC(=O)C(=C)[C@@H]1[C@H](O)[C@H](C(=C)C(=O)OC)[C@@H](OC(=O)C(=C)CO)C2,0.75
C=CC[C@@]12COC(=O)C(=C)[C@@H]1[C@H]1OC(=O)C(=C)[C@@H]1[C@@H](OC(=O)C(=C)CO)C2,0.5606
C=CC[C@@]12COC(=O)C(=C)[C@@H]1[C@H]1OC(=O)[C@H](C)[C@@H]1[C@@H](OC(=O)C(=C)CO)C2,0.4865
C=CC[C@@]12COC(=O)C(=C)[C@@H]1C[C@H](C(=C)C(=O)O)[C@@H](OC(=O)C(=C)CO)C2,0.473
C=CC[C@@]12COC(=O)C(=C)[C@@H]1C[C@H]([C@@H](C)C(=O)O)[C@@H](OC(=O)C(=C)CO)C2,0.4359
C=C[C@]1(CO)C[C@H](O)[C@H]2C(=C)C(=O)O[C@@H]2[C@H]1C(=C)CO,0.7143
CC(C)C1=C(O)C(=O)C2=C(C1=O)[C@H](OC=O)C[C@H]1C(C)(C)CCC[C@]21C,0.6
CC(=O)O[C@@H]1C[C@H]2C(C)(C)CCC[C@]2(C)C2=C1C(=O)C(C(C)C)=C(O)C2=O,0.6
CC(C)C1=CC2=CC=C3C(C)(C)C[C@H](OC(=O)c4ccc(O)cc4)C[C@]3(C)C2=C(O)C1=O,0.5797
CC(C)C1=CC2=CC=C3C(C)(C)C[C@H](OC(=O)c4ccc(O)c(O)c4)C[C@]3(C)C2=C(O)C1=O,0.5342
CC(C)=CC(=O)OC[C@@]1(C)CCC[C@@]2(C)C1=CC=C1C=C(C(C)C)C(=O)C(O)=C12,0.4935
CC(C)C1=CC2=CC=C3[C@@](C)(COC(=O)c4ccc(O)cc4)CCC[C@]3(C)C2=C(O)C1=O,0.5417
CC(C)C1=CC2=CC=C3[C@@](C)(COC(=O)c4ccc(O)c(O)c4)CCC[C@]3(C)C2=C(O)C1=O,0.5
COc1cc(OC)c(-c2c(C)cc(O)c3c2C(=O)c2cccc(O)c2C3=O)c(O)c1C(C)=O,0.8958
CC(=O)c1c(O)cc(O)c(-c2c(C)cc(O)c3c2C(=O)c2cccc(O)c2C3=O)c1O,0.7917
Cc1occ2c1C(=O)c1c(O)ccc(O)c1C2=O,1.0
COc1cc(O)c([C@@]2(O)c3cccc(O)c3C(=O)c3c(O)cc(C)cc32)c(O)c1C(C)=O,1.0
O=C1c2coc(CO)c2C(=O)c2c(O)ccc(O)c21,1.0
COc1ccc(O)c2c1C(=O)c1coc(C)c1C2=O,1.0
C=CCc1cc(O)c(O)c(OC)c1,0.6667
Cc1occ2c1C(=O)c1c(O)cccc1C2=O,1.0
COc1ccc(OC)c2c1C(=O)c1coc(C)c1C2=O,0.8286
CC(=O)OCc1occ2c1C(=O)c1c(O)cccc1C2=O,1.0
CC(=O)OCc1occ2c1C(=O)c1c(O)ccc(O)c1C2=O,1.0
CC(C)c1c(O)c(O)cc2c1[C@@]1(C)CCCC(C)(C)C1=C(O)C2=O,0.58
CC1(C)CCC[C@]2(C)c3cc(O)c(O)cc3CC[C@H]12,0.7561
COc1cccc2c1C(=O)c1c(O)cc(CO)cc1[C@H]2[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,0.8182
COc1c(O)ccc2c1C(=O)c1c(O)cc(C)cc1[C@H]2[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,1.0
C=C(C)C(=O)O[C@H]1C[C@H](C)C2=CC(=O)[C@](C)(/C=C3/OC(=O)C(COC(C)=O)=C31)O2,0.3053
CC(=O)OCC1=C2/C(=C\[C@]3(C)OC(=CC3=O)[C@@H](C)C[C@@H]2OC(=O)/C=C(/C)COC(C)=O)OC1=O,0.2892
C=C1C(=O)O[C@@H]2C/C(C)=C\CC[C@@]3(C)O[C@@H]3[C@@H](O)[C@@H]12,1.0
C=C1C(=O)O[C@H]2C[C@@]3(C)[C@H](O)CCC(=C)[C@H]3[C@@H](O)[C@H]12,1.0
C=C1C(=O)O[C@H]2C[C@@]3(C)[C@H](O)CC=C(C)[C@H]3[C@@H](O)[C@H]12,0.6327
C=C1C(=O)O[C@H]2/C=C(/C)[C@@H](O)CC/C(C)=C\[C@@H](O)[C@H]12,0.6667
C=C1C(=O)O[C@H]2CC(=C)[C@@H](O)CC/C(C)=C\[C@@H](O)[C@H]12,0.6739
C=C[C@](C)(O)CC/C=C(\C)CCC=C(C)C,1.0
C[C@@H]1C[C@H]2[C@@]3(C)CC[C@H](O)C(C)(C)[C@H]3CC[C@@]2(C)[C@]2(C)CC[C@H]([C@]3(C)CC[C@H](C(C)(C)O)O3)[C@H]12,0.5
