GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
381,0.0,-0.0,0.0,0.0,0.0,0.0,-23.58,0.16,0.0,-0.0,7.57,-3.57,-23.42,4.01,-19.41
391,-0.0,0.0,0.0,0.0,0.0,0.0,-21.21,-6.09,-0.0,-0.0,14.79,-3.94,-27.3,10.85,-16.45
401,0.0,0.0,0.0,0.0,0.0,0.0,-26.52,-2.4,-0.0,-0.0,9.0,-3.83,-28.92,5.17,-23.74
411,0.0,0.0,0.0,0.0,0.0,0.0,-24.08,-4.81,-0.0,-0.0,12.26,-3.8,-28.89,8.46,-20.43
421,0.0,0.0,0.0,0.0,0.0,0.0,-24.81,-6.6,-0.0,0.0,14.01,-3.73,-31.41,10.28,-21.13
431,-0.0,0.0,0.0,0.0,0.0,0.0,-27.55,-3.91,0.0,0.0,12.32,-4.03,-31.46,8.29,-23.17
441,-0.0,0.0,-0.0,0.0,0.0,0.0,-21.16,-5.34,-0.0,0.0,12.56,-3.84,-26.5,8.71,-17.78
451,-0.0,-0.0,0.0,0.0,0.0,0.0,-18.97,-0.52,-0.0,-0.0,6.54,-3.12,-19.49,3.42,-16.07
461,0.0,0.0,-0.0,0.0,0.0,0.0,-19.62,-1.69,-0.0,0.0,8.55,-3.46,-21.31,5.09,-16.23
471,0.0,-0.0,-0.0,0.0,0.0,0.0,-23.47,-0.56,0.0,-0.0,8.58,-3.5,-24.03,5.09,-18.94
481,0.0,-0.0,-0.0,0.0,0.0,0.0,-26.36,1.39,-0.0,0.0,7.8,-4.0,-24.97,3.8,-21.17
491,-0.0,0.0,-0.0,0.0,0.0,0.0,-26.68,-2.7,-0.0,-0.0,10.71,-4.08,-29.39,6.64,-22.75
