smiles,mpo,syba,sa,rrs,pns,hypervolume,seed
CCCCCCC1CCN2C(NC(=O)NCC(CC(C)C)C(CC(CNc3ccc4ccccc4n3)(CC(OC(c3cnccn3)N(C(C)(CCCCCC)OC)C(OC(C)=O)(C(N)CC3(COC)CCN4CCCC4C3)N(C=N)CCCCCC)c3ccoc3)NN(c3ccccc3)C(COCC)(C(C)CCOC)C(OCN(c3ccc4ccccc4n3)C(OC(=O)C(NC(N)=O)NC3CC3)(N(Cc3ccccn3)N(C3COC(C(CC)(C(=O)NNC(N)=O)c4cnccn4)CN3)C(CCCCC(COC)NC(=O)NC3CCOC3)C3NCCNC3CCOCCCC)C(c3ccccc3)(c3ccsc3)C(C3CCCO3)C(c3ccccc3)c3ccsc3)c3ccco3)Nc3ccc4ccccc4n3)CCCC12,0.0042,252.6928,3.0000,0.0592,0.1524,0.6380,3
CCCCCCN(C=N)C(OC(C)=O)(C(N)CC1CCN2CCCC2C1)N(C(C)OC)C(OC(CC(CNc1ccc2ccccc2n1)(CC(Nc1ccc2ccccc2n1)C(CNC(=O)NC1CCCC2CCCN21)CC(C)C)NN(c1ccccc1)C(COCC)(C(C)CCOC)C(OCN(c1ccc2ccccc2n1)C(OC(=O)C(NC(=O)NCCCC)NC1CC1)(N(Cc1ccccn1)N(C1COC(C(CC)(C(=O)NNC(N)=O)c2cnccn2)CN1)C(CCCCC(COC)NC(=O)NC1CCOC1)C1NCCNC1CCOCCCC)C(c1ccccc1)(c1ccsc1)C(C1CCCO1)C(c1ccccc1)c1ccsc1)c1ccco1)c1ccoc1)c1cnccn1,0.0042,270.4780,3.0000,0.0573,0.1524,0.6380,3
CCCCCC(CC(C)C)N(C=N)C(OC(C)=O)(C(N)CC1CCN2CCCC2C1)N(C(C)OC)C(OC(CC(CNc1ccc2ccccc2n1)(CC(Nc1ccc2ccccc2n1)C(CNC(=O)NC1(CNN)CCCC2CCCN21)CC(C)C)NN(c1ccccc1)C(COCC)(C(C)CCOC)C(OCN(c1ccc2ccccc2n1)C(OC(=O)C(NC(N)=O)NC1CC1)(N(Cc1ccccn1)N(C1COC(C(CC)(C(=O)NNC(N)=O)c2cnccn2)CN1)C(CCCCC(COC)NC(=O)NC1CCOC1)C1NCCNC1CCOCCCC)C(c1ccccc1)(c1ccsc1)C(C1CCCO1)C(c1ccccc1)c1ccsc1)c1ccco1)c1ccoc1)c1cnccn1,0.0032,249.6123,3.0000,0.0566,0.5952,0.6380,3
CCCCCCN(C=NNC(N)=O)C(OC(C)=O)(C(N)CC1CCN2CCCC2C1)N(C(C)OC)C(OC(CC(CNc1ccc2ccccc2n1)(CC(Nc1ccc2ccccc2n1)C(CNC(=O)NC1(CNN)CCC(N2CCOCC2)C2CCCN21)CC(C)C)NN(c1ccccc1)C(COCC)(C(C)CCOC)C(OCN(c1ccc2ccccc2n1)C(OC(=O)C(NC(N)=O)NC1CC1)(N(Cc1ccccn1)N(C1COC(C(CC)(C(=O)NNC(N)=O)c2cnccn2)CN1)C(CCCCC(COC)NC(=O)NC1CCOC1)C1NCCNC1CCOCCCC)C(c1ccccc1)(c1ccsc1)C(C1CCCO1)C(c1ccccc1)c1ccsc1)c1ccco1)c1ccoc1)c1cnccn1,0.0032,270.5869,3.0000,0.0556,0.0000,0.6380,3
COCC(N)(Cc1ccccc1)CC(C)C,0.8011,42.9443,3.0000,0.1887,1.0000,0.6380,4
COCCCCN(CC(C)N(c1ccccc1)c1ccc2ccccc2n1)NCc1cccnc1,0.2035,106.1358,3.0000,0.1646,1.0000,0.6380,4
CNN(c1ncccn1)C(c1ccccc1)C(C)N(c1ccccc1)c1ccc2ccccc2n1,0.1027,129.6313,3.0000,0.1489,0.0000,0.6380,4
CCC(C(C)C(C)C(CCCCOC)NC)C(OCCN1CCOCC1)C(NNC(CC(C)(C)Cc1ccncn1)(c1cccnc1)C1CNCC(CNc2ccc3ccccc3n2)C1)(c1cnccn1)C(CC1CCCN(CC(C)C)C1)(OC)N(c1ccccc1)c1ccc2ccccc2n1,0.0139,161.7215,3.0000,0.0909,0.0000,0.6380,4
CCC(C(C)C(C)C(CCCCOC)NC)C(OCCN1CCOCC1)C(NNC(CC(C)(C)Cc1ccncn1)(c1cccnc1)C1CNCC(CNc2ccc3ccccc3n2)C1)(c1cnccn1)C(CC1CCCN(CC(C)C)C1)(OC)N(c1ccccc1)c1ccc2ccccc2n1,0.0139,161.7215,3.0000,0.0909,0.0000,0.6380,4
CCCC(CCOC)CC(NC)C(C)C(C)C(CC)C(OCCN1CCOCC1)C(NNC(CC(C)(C)Cc1ccncn1)(c1cccnc1)C1CNCC(CNc2ccc3ccccc3n2)C1)(c1cnccn1)C(CC1CCCN(CC(C)C)C1)(OC)N(c1ccccc1)c1ccc2ccccc2n1,0.0179,158.1180,3.0000,0.0894,0.1905,0.6380,4
