smiles,PfDHFR,PfCRT,PfATP4,rrs_score,rrs_class,H1_entropy,H1_count,H1_max_pers,H1_mean_pers,H1_birth_mean,H1_birth_std,H1_death_mean,H1_death_std,H1_pers_q25,H1_pers_q50,H1_pers_q75,tfp_valid
CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,-7.0,-5.3,-8.6,7.8,B,1.2604204416275024,3.0,1.3736804723739624,0.7253986597061157,2.5138702392578125,0.5458745956420898,3.2392687797546387,0.2035254687070846,1.0273678302764893,1.266231894493103,1.3199561834335327,True
CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,-3.8,-5.7,-8.6,,Unknown,2.102436,5.0,1.379859,0.49269632,2.414206,0.39438578,2.9069023,0.3416339,0.6618626,0.68107295,1.3774283,True
CCN(CC)CCCNc1ccnc2cc(Cl)ccc12,-4.3,-5.1,-7.8,,Unknown,2.1677475,7.0,1.3799673,0.6131197,2.3736541,0.39678916,2.986774,0.25130075,0.599221,0.60930514,1.0650558,True
CCOC(=O)c1cnc2c(C)cc(C)cc2c1Nc1ccc(OC)c(OC)c1,1.5,-6.6,-7.9,,Unknown,1.9093255,6.0,1.3955673,0.57512635,2.5499108,0.6652569,3.1250372,0.43691906,0.5927266,1.0729566,1.3870813,True
Cc1cc(C)cc(Nc2cc(C)nc3nc(C(F)(F)F)nn23)c1,-5.5,-7.3,-9.6,8.45,A,1.2479658126831057,3.0,1.3799080848693848,0.6437151432037354,2.663445472717285,0.9796847701072692,3.3071606159210205,0.7743231058120728,1.1480528116226196,1.3108229637145996,1.3453655242919922,True
Cc1cccc(Nc2nc(N)c3ccccc3n2)c1,-4.3,-6.5,-10.1,,Unknown,1.5012059,4.0,1.3863341,0.99925965,2.155223,0.29336086,3.1544826,0.16364442,1.1101723,1.3372736,1.3810759,True
CCc1ccc(Nc2cc(C)c3ccc(O)cc3n2)cc1,0.6,-6.6,-10.6,,Unknown,1.4873228,3.0,1.3967426,0.8294417,2.199298,0.3012552,3.0287397,0.36138338,1.3798345,1.3881197,1.3924311,True
Fc1ccc2[nH]c3c(NCCCN4CCOCC4)ncnc3c2c1,-3.8,-6.7,-8.9,,Unknown,1.8558117,6.0,1.3910729,0.77707875,2.1999629,0.2776488,2.9770417,0.2101637,0.70583236,0.9827081,1.3063698,True
Cc1cc(NCCN2CCCCC2)c2ccc3ccccc3c2n1,-1.6,-6.6,-9.1,,Unknown,2.0295217,5.0,1.4087595,0.6859773,2.2670639,0.33135816,2.953041,0.25783038,0.7259183,1.3729873,1.3854554,True
CSc1ccccc1C(=O)Nc1nc(-c2ccccn2)cs1,8.0,-5.9,-9.4,,Unknown,1.4026756,3.0,1.4039844,0.53794867,2.5572052,0.46228164,3.0951538,0.23127954,0.92090195,1.3369359,1.3704602,True
CN(C)CCCNc1c2ccccc2nc2ccccc12,-3.7,-6.1,-7.5,,Unknown,1.8426003,5.0,1.3894091,0.6059282,2.4503968,0.5167363,3.056325,0.31502503,0.6819861,1.3512859,1.383557,True
