GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
971,14.07,20.17,14.98,0.0,0.0,0.0,0.29,69.44,33.44,-211.28,-18.11,3.29,-58.89,-14.82,-73.71
981,12.38,18.29,15.59,0.0,0.0,0.0,0.65,69.61,32.04,-209.13,-18.74,3.32,-60.57,-15.42,-75.99
991,6.43,13.26,24.87,0.0,0.0,0.0,2.21,67.3,38.67,-213.93,-15.57,3.21,-61.19,-12.36,-73.55

Delta Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,-0.0,0.0,0.0,0.0,0.0,0.0,-30.38,-6.23,0.0,-0.0,17.38,-3.79,-36.62,13.59,-23.03
11,-0.0,0.0,0.0,0.0,0.0,0.0,-33.88,-15.04,0.0,-0.0,23.0,-4.52,-48.92,18.48,-30.44
21,0.0,-0.0,0.0,0.0,0.0,0.0,-30.25,-10.48,0.0,-0.0,21.6,-4.23,-40.73,17.36,-23.36
31,0.0,0.0,-0.0,0.0,0.0,0.0,-32.99,-9.32,-0.0,0.0,21.4,-4.64,-42.31,16.76,-25.55
41,-0.0,-0.0,0.0,0.0,0.0,0.0,-33.48,7.38,-0.0,-0.0,9.61,-4.52,-26.09,5.09,-21.0
51,-0.0,-0.0,0.0,0.0,0.0,0.0,-37.94,-2.06,-0.0,0.0,16.88,-4.62,-40.0,12.26,-27.74
61,0.0,0.0,-0.0,0.0,0.0,0.0,-39.96,-1.71,0.0,0.0,15.04,-4.81,-41.67,10.22,-31.45
71,-0.0,0.0,0.0,0.0,0.0,0.0,-37.32,2.29,0.0,0.0,14.05,-5.07,-35.03,8.99,-26.04
81,-0.0,-0.0,-0.0,0.0,0.0,0.0,-37.55,-3.65,-0.0,-0.0,15.07,-4.55,-41.2,10.52,-30.68
91,-0.0,0.0,0.0,0.0,0.0,0.0,-40.35,0.04,-0.0,0.0,15.62,-4.79,-40.31,10.83,-29.48
101,-0.0,0.0,-0.0,0.0,0.0,0.0,-36.97,-0.59,-0.0,0.0,12.89,-4.33,-37.56,8.57,-28.99
111,-0.0,-0.0,0.0,0.0,0.0,0.0,-30.73,4.92,-0.0,-0.0,9.13,-4.2,-25.81,4.93,-20.88
121,-0.0,-0.0,0.0,0.0,0.0,0.0,-29.47,2.85,-0.0,0.0,9.1,-4.04,-26.62,5.05,-21.57
