GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
5,0.0,0.0,0.0,0.0,0.0,0.0,337423367.5508,-236044.7061,0.0,0.0,nan,0.0,337187322.84470004,nan,nan
6,0.0,0.0,0.0,0.0,0.0,0.0,338216773.7123,-236387.0365,0.0,0.0,nan,0.0,337980386.6758,nan,nan
7,0.0,0.0,0.0,0.0,0.0,0.0,337755369.3186,-236311.4997,0.0,0.0,nan,0.0,337519057.8189,nan,nan
8,0.0,0.0,0.0,0.0,0.0,0.0,335713700.1382,-236060.1556,0.0,0.0,nan,0.0,335477639.9826,nan,nan
9,0.0,0.0,0.0,0.0,0.0,0.0,338225311.8133,-236164.1055,0.0,0.0,nan,0.0,337989147.70780003,nan,nan
10,0.0,0.0,0.0,0.0,0.0,0.0,337030268.1887,-236021.5191,0.0,0.0,nan,0.0,336794246.6696,nan,nan
11,0.0,0.0,0.0,0.0,0.0,0.0,336919221.1575,-236303.1557,0.0,0.0,nan,0.0,336682918.0018,nan,nan
12,0.0,0.0,0.0,0.0,0.0,0.0,336022523.709,-235888.3766,0.0,0.0,nan,0.0,335786635.33239996,nan,nan
13,0.0,0.0,0.0,0.0,0.0,0.0,337057084.1459,-236204.7861,0.0,0.0,nan,0.0,336820879.35980004,nan,nan
14,0.0,0.0,0.0,0.0,0.0,0.0,337260520.8871,-236177.1497,0.0,0.0,nan,0.0,337024343.7374,nan,nan
15,0.0,0.0,0.0,0.0,0.0,0.0,337208531.2524,-236229.7031,0.0,0.0,nan,0.0,336972301.54929996,nan,nan
16,0.0,0.0,0.0,0.0,0.0,0.0,337226745.1053,-236441.3096,0.0,0.0,nan,0.0,336990303.7957,nan,nan
17,0.0,0.0,0.0,0.0,0.0,0.0,337111592.3061,-236293.7603,0.0,0.0,nan,0.0,336875298.54580003,nan,nan
18,0.0,0.0,0.0,0.0,0.0,0.0,338347451.1773,-236365.5627,0.0,0.0,nan,0.0,338111085.6146,nan,nan
19,0.0,0.0,0.0,0.0,0.0,0.0,336099825.0235,-236149.3427,0.0,0.0,nan,0.0,335863675.6808,nan,nan
20,0.0,0.0,0.0,0.0,0.0,0.0,337063879.4004,-236056.0586,0.0,0.0,nan,0.0,336827823.3418,nan,nan
21,0.0,0.0,0.0,0.0,0.0,0.0,337129047.4514,-235739.3009,0.0,0.0,nan,0.0,336893308.1505,nan,nan
22,0.0,0.0,0.0,0.0,0.0,0.0,336542795.0713,-235585.4979,0.0,0.0,nan,0.0,336307209.5734,nan,nan
23,0.0,0.0,0.0,0.0,0.0,0.0,337098435.1123,-235503.7715,0.0,0.0,nan,0.0,336862931.3408,nan,nan
24,0.0,0.0,0.0,0.0,0.0,0.0,336609303.312,-235759.6107,0.0,0.0,nan,0.0,336373543.70129997,nan,nan
25,0.0,0.0,0.0,0.0,0.0,0.0,338088426.6923,-236110.8818,0.0,0.0,nan,0.0,337852315.8105,nan,nan
26,0.0,0.0,0.0,0.0,0.0,0.0,338163884.7346,-236160.1895,0.0,0.0,nan,0.0,337927724.54510003,nan,nan
27,0.0,0.0,0.0,0.0,0.0,0.0,336437014.6191,-236145.1081,0.0,0.0,nan,0.0,336200869.511,nan,nan
28,0.0,0.0,0.0,0.0,0.0,0.0,336713848.1877,-236185.1245,0.0,0.0,nan,0.0,336477663.0632,nan,nan
29,0.0,0.0,0.0,0.0,0.0,0.0,338217556.3176,-236328.5535,0.0,0.0,nan,0.0,337981227.7641,nan,nan
30,0.0,0.0,0.0,0.0,0.0,0.0,336837104.5618,-236311.4572,0.0,0.0,nan,0.0,336600793.1046,nan,nan
31,0.0,0.0,0.0,0.0,0.0,0.0,336606979.1064,-236204.5578,0.0,0.0,nan,0.0,336370774.5486,nan,nan
32,0.0,0.0,0.0,0.0,0.0,0.0,337835050.9817,-236176.8099,0.0,0.0,nan,0.0,337598874.1718,nan,nan
33,0.0,0.0,0.0,0.0,0.0,0.0,338346153.4039,-236174.7504,0.0,0.0,nan,0.0,338109978.6535,nan,nan
34,0.0,0.0,0.0,0.0,0.0,0.0,337315279.805,-236225.1719,0.0,0.0,nan,0.0,337079054.63310003,nan,nan
35,0.0,0.0,0.0,0.0,0.0,0.0,337940888.1708,-236220.7105,0.0,0.0,nan,0.0,337704667.46029997,nan,nan
36,0.0,0.0,0.0,0.0,0.0,0.0,335953558.767,-235641.1663,0.0,0.0,nan,0.0,335717917.6007,nan,nan
37,0.0,0.0,0.0,0.0,0.0,0.0,337141338.3756,-235802.5069,0.0,0.0,nan,0.0,336905535.86869997,nan,nan
38,0.0,0.0,0.0,0.0,0.0,0.0,337591088.1516,-235851.2863,0.0,0.0,nan,0.0,337355236.8653,nan,nan
39,0.0,0.0,0.0,0.0,0.0,0.0,337094964.0263,-235623.4866,0.0,0.0,nan,0.0,336859340.53970003,nan,nan
40,0.0,0.0,0.0,0.0,0.0,0.0,336380106.2152,-235931.0695,0.0,0.0,nan,0.0,336144175.1457,nan,nan
41,0.0,0.0,0.0,0.0,0.0,0.0,337479353.1911,-236094.4847,0.0,0.0,nan,0.0,337243258.7064,nan,nan
42,0.0,0.0,0.0,0.0,0.0,0.0,337316055.3497,-236115.791,0.0,0.0,nan,0.0,337079939.55869997,nan,nan
43,0.0,0.0,0.0,0.0,0.0,0.0,337104748.3554,-236079.5547,0.0,0.0,nan,0.0,336868668.8007,nan,nan
44,0.0,0.0,0.0,0.0,0.0,0.0,337263358.2248,-236059.5459,0.0,0.0,nan,0.0,337027298.6789,nan,nan
45,0.0,0.0,0.0,0.0,0.0,0.0,337697664.8698,-236188.8277,0.0,0.0,nan,0.0,337461476.04209995,nan,nan
46,0.0,0.0,0.0,0.0,0.0,0.0,336893222.4858,-236034.013,0.0,0.0,nan,0.0,336657188.4728,nan,nan
47,0.0,0.0,0.0,0.0,0.0,0.0,337848153.7661,-236419.2418,0.0,0.0,nan,0.0,337611734.5243,nan,nan
48,0.0,0.0,0.0,0.0,0.0,0.0,336856682.5888,-235966.4905,0.0,0.0,nan,0.0,336620716.09830004,nan,nan
49,0.0,0.0,0.0,0.0,0.0,0.0,337165424.4231,-236231.1697,0.0,0.0,nan,0.0,336929193.25339997,nan,nan
50,0.0,0.0,0.0,0.0,0.0,0.0,337879275.7674,-236209.4428,0.0,0.0,nan,0.0,337643066.32460004,nan,nan
51,0.0,0.0,0.0,0.0,0.0,0.0,337304987.2781,-235871.937,0.0,0.0,nan,0.0,337069115.34110004,nan,nan
52,0.0,0.0,0.0,0.0,0.0,0.0,337429699.703,-236147.5629,0.0,0.0,nan,0.0,337193552.1401,nan,nan
53,0.0,0.0,0.0,0.0,0.0,0.0,338753954.3615,-236263.2242,0.0,0.0,nan,0.0,338517691.1373,nan,nan
54,0.0,0.0,0.0,0.0,0.0,0.0,336490023.9499,-235969.2102,0.0,0.0,nan,0.0,336254054.73969996,nan,nan
55,0.0,0.0,0.0,0.0,0.0,0.0,337945106.4643,-236400.6927,0.0,0.0,nan,0.0,337708705.77159995,nan,nan
56,0.0,0.0,0.0,0.0,0.0,0.0,338002903.9236,-236453.2145,0.0,0.0,nan,0.0,337766450.7091,nan,nan
57,0.0,0.0,0.0,0.0,0.0,0.0,336704609.5222,-236616.9852,0.0,0.0,nan,0.0,336467992.537,nan,nan
58,0.0,0.0,0.0,0.0,0.0,0.0,337161203.5752,-236818.6131,0.0,0.0,nan,0.0,336924384.9621,nan,nan
59,0.0,0.0,0.0,0.0,0.0,0.0,336563050.32,-236690.0821,0.0,0.0,nan,0.0,336326360.2379,nan,nan
60,0.0,0.0,0.0,0.0,0.0,0.0,336435830.8816,-236615.2668,0.0,0.0,nan,0.0,336199215.61480004,nan,nan
