protein_a	protein_b	score
PF3D7_0417200	PF3D7_1036700	463
PF3D7_0417200	PF3D7_0306300	462
PF3D7_0417200	PF3D7_1134000	460
PF3D7_0417200	PF3D7_0818900	460
PF3D7_0417200	PF3D7_0917900	460
PF3D7_0417200	PF3D7_0831700	460
PF3D7_0417200	PF3D7_1313700	457
PF3D7_0417200	PF3D7_0820700	456
PF3D7_0417200	PF3D7_0811000	455
PF3D7_0417200	PF3D7_1235700	455
PF3D7_0417200	PF3D7_1141600	454
PF3D7_0417200	PF3D7_1349200	454
PF3D7_0417200	PF3D7_1450900	452
PF3D7_0417200	PFF0285c	451
PF3D7_0417200	PF3D7_1112100	449
PF3D7_0417200	PF3D7_0819200	449
PF3D7_0417200	PF3D7_1337200	448
PF3D7_0417200	PF3D7_1304000	446
PF3D7_0417200	PF3D7_0610800	444
PF3D7_0417200	PF3D7_0906300	444
PF3D7_0417200	PF3D7_1145500	443
PF3D7_0417200	PF3D7_1209900	443
PF3D7_0417200	PF3D7_1339900	443
PF3D7_0417200	PF3D7_1429900	441
PF3D7_0417200	PF3D7_0918600	441
PF3D7_0417200	PF3D7_1357200	440
PF3D7_0417200	PF3D7_1331700	440
PF3D7_0417200	PF3D7_0611700	440
PF3D7_0417200	PF3D7_0217100	438
PF3D7_0417200	PF3D7_1331100	437
PF3D7_0417200	PF3D7_1425400	437
PF3D7_0417200	A0A143ZXY8	435
PF3D7_0417200	PF3D7_0102600	435
PF3D7_0417200	PF3D7_0902300	435
PF3D7_0417200	PF3D7_1039000	435
PF3D7_0417200	PF3D7_0514100	435
PF3D7_0417200	PF3D7_1371700	435
PF3D7_0417200	PF3D7_0902000	435
PF3D7_0417200	PF3D7_0500900	435
PF3D7_0417200	A0A143ZVB3	435
PF3D7_0417200	Q8IIJ1_PLAF7	435
PF3D7_0417200	PF3D7_0801800	434
PF3D7_0417200	PF3D7_1145200	432
PF3D7_0417200	PF3D7_1356800	432
PF3D7_0417200	PF3D7_1422100	432
PF3D7_0417200	PF3D7_0605300	432
PF3D7_0417200	PF3D7_0309200	432
PF3D7_0417200	PF3D7_1324000	431
PF3D7_0417200	PF3D7_1034900	430
PF3D7_0417200	PF3D7_1442300	430
PF3D7_0417200	PF3D7_0627800	430
PF3D7_0417200	PF3D7_1346100	430
PF3D7_0417200	PF3D7_1005000	430
PF3D7_0417200	PF3D7_1461500	430
PF3D7_0417200	PF3D7_0903700	429
PF3D7_0417200	PF3D7_1222500	429
PF3D7_0417200	PF3D7_1405400	428
PF3D7_0417200	PF3D7_0505500	428
PF3D7_0417200	PF3D7_1448500	427
PF3D7_0417200	PF3D7_0727200	427
PF3D7_0417200	PF3D7_0716600	427
PF3D7_0417200	PF3D7_1037000	426
PF3D7_0417200	PF3D7_1427500	425
PF3D7_0417200	PF3D7_0706700	425
PF3D7_0417200	PF3D7_0829200	425
PF3D7_0417200	PF3D7_1205600	421
PF3D7_0417200	PF3D7_0923500	420
PF3D7_0417200	PF3D7_0817500	419
PF3D7_0417200	PF3D7_1436900	419
PF3D7_0417200	PF3D7_1420600	418
PF3D7_0417200	PF3D7_0422300	418
PF3D7_0417200	PF3D7_0917100	418
PF3D7_0417200	PF3D7_1352500	416
PF3D7_0417200	PF3D7_0630300	414
PF3D7_0417200	PF3D7_1022800	412
PF3D7_0417200	PF3D7_0321200	412
PF3D7_0417200	PF3D7_0827500	411
PF3D7_0417200	PF3D7_0531200	409
PF3D7_0417200	PF3D7_1438500	408
PF3D7_0417200	lipA	408
PF3D7_0417200	PF3D7_0810300	407
PF3D7_0417200	PF3D7_1308900	407
PF3D7_0417200	PF3D7_0520600	407
PF3D7_0417200	PF3D7_1138400	407
PF3D7_0417200	PF3D7_1019800	406
PF3D7_0417200	PF3D7_0319000	406
PF3D7_0417200	trx3	406
PF3D7_0417200	PF3D7_1134100	403
PF3D7_0417200	PF3D7_0106300	402
PF3D7_0417200	PF3D7_0309700	401
PF3D7_0417200	PF3D7_0919400	401
PF3D7_0417200	PF3D7_1472600	401
PF3D7_0417200	PF3D7_0827900	401
PF3D7_0417200	PF3D7_0516100	400
PF3D7_0417200	PF3D7_1319400	400
CG10	PF3D7_1318100	863
CG10	PF3D7_1447900	863
CG10	coxI	720
CG10	PF3D7_0523000	720
CG10	PF3D7_1408000	678
CG10	PF3D7_0417200	676
CG10	PF3D7_1303500	639
CG10	PF10_0084	605
CG10	PF3D7_1224000	586
CG10	PF3D7_0810800	563
CG10	MSA2	515
CG10	PF14_0076	510
CG10	PF3D7_0112200	509
CG10	PF14_0511	472
CG10	PF3D7_1133400	454
CG10	PF3D7_0509400	439
CG10	PF14_0045	434
CG10	PF3D7_1019900	422
CG10	PF3D7_0930300	419
CG10	PF3D7_1251200	418
CG10	PFE1445c	414
CG10	PF3D7_1035600	413
CG10	PF3D7_0204700	403
