Ligand,Affinity_kcal_mol,Category
ligand_413,-5.44,OTHERS
ligand_414,-6.333,OTHERS
ligand_416,-8.044,GOOD
ligand_417,-7.446,GOOD
ligand_418,-7.384,GOOD
ligand_419,-6.392,OTHERS
ligand_41,-6.835,OTHERS
ligand_420,-7.396,GOOD
ligand_421,-6.565,OTHERS
ligand_422,-7.943,GOOD
ligand_423,-7.327,GOOD
ligand_424,-8.843,GOOD
ligand_425,-7.441,GOOD
ligand_426,-6.317,OTHERS
ligand_428,-8.233,GOOD
ligand_429,-7.624,GOOD
ligand_42,-7.855,GOOD
ligand_430,-7.264,GOOD
ligand_431,-7.734,GOOD
ligand_433,-5.904,OTHERS
ligand_434,-6.568,OTHERS
ligand_435,-6.758,OTHERS
ligand_436,-9.46,EXCELLENT
ligand_437,-8.26,GOOD
ligand_438,-6.677,OTHERS
ligand_439,-5.746,OTHERS
ligand_440,-6.671,OTHERS
ligand_441,-6.838,OTHERS
ligand_442,-6.312,OTHERS
ligand_443,-6.351,OTHERS
ligand_445,-7.764,GOOD
ligand_446,-6.455,OTHERS
ligand_447,-8.23,GOOD
ligand_448,-6.591,OTHERS
ligand_449,-6.695,OTHERS
ligand_44,-5.942,OTHERS
ligand_450,-7.502,GOOD
ligand_451,-4.94,OTHERS
ligand_452,-6.573,OTHERS
ligand_453,-6.886,OTHERS
ligand_454,-7.91,GOOD
ligand_455,-7.902,GOOD
ligand_456,-6.49,OTHERS
ligand_457,-6.655,OTHERS
ligand_458,-6.574,OTHERS
ligand_459,-5.956,OTHERS
ligand_45,-5.587,OTHERS
ligand_461,-5.814,OTHERS
ligand_462,-6.787,OTHERS
ligand_463,-7.703,GOOD
ligand_464,-7.488,GOOD
ligand_465,-5.441,OTHERS
ligand_466,-8.196,GOOD
ligand_467,-7.348,GOOD
ligand_468,-7.832,GOOD
ligand_469,-7.009,GOOD
ligand_46,-7.346,GOOD
ligand_470,-7.449,GOOD
ligand_471,-6.74,OTHERS
ligand_472,-6.788,OTHERS
ligand_473,-5.049,OTHERS
ligand_474,-5.202,OTHERS
ligand_475,-7.951,GOOD
ligand_48,-8.368,GOOD
ligand_49,-7.443,GOOD
ligand_4,-7.692,GOOD
ligand_50,-6.232,OTHERS
ligand_51,-6.71,OTHERS
ligand_52,-7.002,GOOD
ligand_53,-6.601,OTHERS
ligand_54,-6.315,OTHERS
ligand_55,-5.892,OTHERS
ligand_56,-6.965,OTHERS
ligand_57,-6.561,OTHERS
ligand_58,-6.851,OTHERS
ligand_59,-7.233,GOOD
ligand_5,-6.633,OTHERS
ligand_60,-6.38,OTHERS
ligand_61,-7.264,GOOD
ligand_62,-6.626,OTHERS
ligand_63,-7.638,GOOD
ligand_64,-6.166,OTHERS
ligand_65,-5.838,OTHERS
ligand_66,-6.295,OTHERS
ligand_67,-6.459,OTHERS
ligand_68,-5.937,OTHERS
ligand_69,-7.245,GOOD
ligand_6,-7.342,GOOD
ligand_71,-5.906,OTHERS
ligand_72,-5.701,OTHERS
ligand_74,-8.091,GOOD
ligand_75,-8.189,GOOD
ligand_76,-5.982,OTHERS
ligand_77,-6.886,OTHERS
ligand_78,-7.181,GOOD
ligand_79,-3.795,OTHERS
ligand_7,-6.649,OTHERS
ligand_80,-7.067,GOOD
ligand_81,-6.607,OTHERS
ligand_82,-6.576,OTHERS
ligand_83,-7.939,GOOD
ligand_84,-7.667,GOOD
ligand_85,-7.336,GOOD
ligand_86,-5.423,OTHERS
ligand_87,-8.339,GOOD
ligand_88,-6.399,OTHERS
ligand_89,-6.098,OTHERS
ligand_8,-4.45,OTHERS
ligand_90,-7.073,GOOD
ligand_91,-8.392,GOOD
ligand_92,-6.723,OTHERS
ligand_93,-6.773,OTHERS
ligand_94,-6.418,OTHERS
ligand_95,-7.023,GOOD
ligand_96,-9.146,EXCELLENT
ligand_97,-6.23,OTHERS
ligand_9,-6.122,OTHERS
