complex_name,candidate_id,candidate_rank,target,pdb_id,protein_path,protein_sha256,protein_sequence,ligand_description,candidate_file_sha256
PP-14_PfDHFR,PP-14,14,PfDHFR,7F3Y,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/7F3Y.pdb,f630faa7915c4da1db22c9301cc5bbb9dee83558ffe5b4bbe2520f3931701ef4,,CC=Cc1cc(O)c(O)c(OC)c1,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-14_PfCRT,PP-14,14,PfCRT,6UKJ,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/6UKJ.pdb,9d5d008f38b7d7937f37737868c7bee047d01c0ea51e48cfe077595b28e77562,,CC=Cc1cc(O)c(O)c(OC)c1,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-14_PfClpP,PP-14,14,PfClpP,4GM2,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/4GM2.pdb,2130e9fdde2a56b5c31eef94a620624679af009f06bbd5e145e6053a82117fcc,,CC=Cc1cc(O)c(O)c(OC)c1,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-14_PfATP4,PP-14,14,PfATP4,9N10,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/9N10.pdb,102e55cefea0f918cb003adbdacc2f27651021788c1aebb0a40c020069f75359,,CC=Cc1cc(O)c(O)c(OC)c1,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-15_PfDHFR,PP-15,15,PfDHFR,7F3Y,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/7F3Y.pdb,f630faa7915c4da1db22c9301cc5bbb9dee83558ffe5b4bbe2520f3931701ef4,,COc1c(O)cc2c(c1O)C(=O)C([C@H](O)c1ccccc1)CO2,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-15_PfCRT,PP-15,15,PfCRT,6UKJ,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/6UKJ.pdb,9d5d008f38b7d7937f37737868c7bee047d01c0ea51e48cfe077595b28e77562,,COc1c(O)cc2c(c1O)C(=O)C([C@H](O)c1ccccc1)CO2,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-15_PfClpP,PP-15,15,PfClpP,4GM2,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/4GM2.pdb,2130e9fdde2a56b5c31eef94a620624679af009f06bbd5e145e6053a82117fcc,,COc1c(O)cc2c(c1O)C(=O)C([C@H](O)c1ccccc1)CO2,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-15_PfATP4,PP-15,15,PfATP4,9N10,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/9N10.pdb,102e55cefea0f918cb003adbdacc2f27651021788c1aebb0a40c020069f75359,,COc1c(O)cc2c(c1O)C(=O)C([C@H](O)c1ccccc1)CO2,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-16_PfDHFR,PP-16,16,PfDHFR,7F3Y,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/7F3Y.pdb,f630faa7915c4da1db22c9301cc5bbb9dee83558ffe5b4bbe2520f3931701ef4,,Cc1occ2c1C(=O)c1c(O)cccc1C2=O,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-16_PfCRT,PP-16,16,PfCRT,6UKJ,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/6UKJ.pdb,9d5d008f38b7d7937f37737868c7bee047d01c0ea51e48cfe077595b28e77562,,Cc1occ2c1C(=O)c1c(O)cccc1C2=O,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-16_PfClpP,PP-16,16,PfClpP,4GM2,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/4GM2.pdb,2130e9fdde2a56b5c31eef94a620624679af009f06bbd5e145e6053a82117fcc,,Cc1occ2c1C(=O)c1c(O)cccc1C2=O,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-16_PfATP4,PP-16,16,PfATP4,9N10,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/9N10.pdb,102e55cefea0f918cb003adbdacc2f27651021788c1aebb0a40c020069f75359,,Cc1occ2c1C(=O)c1c(O)cccc1C2=O,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-17_PfDHFR,PP-17,17,PfDHFR,7F3Y,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/7F3Y.pdb,f630faa7915c4da1db22c9301cc5bbb9dee83558ffe5b4bbe2520f3931701ef4,,O=C(O)C=Cc1ccc(O)cc1,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
