smile,score_1syh,score_6y2f,score_4lde
COc1cc(SC)ccc1C(=O)N1CCCC(C(C)O)C1,0.3,-5.8,-7.3
COc1cc(SC)ccc1C(=O)N1CCC[C@@H](CN)C1,-0.3,-5.5,-7.1
COc1cc(SC)ccc1C(=O)N1CCCC(CN)C1,-0.8,-5.3,-7.1
COc1cc(SC)ccc1C(=O)N1CCCC(C(C)N)C1,0.7,-5.4,-7.1
COc1cc(SC)ccc1C(=O)N1CCCC(CCN)C1,-0.4,-5.7,-6.7
COc1cc(SC)ccc1C(=O)N1C[C@@H](C)C[C@H](N)C1,0.6,-5.4,-8.0
COc1cc(SC)ccc1C(=O)N1CCCC(C)(O)C1,-0.2,-5.9,-7.7
COc1cc(SC)ccc1C(=O)N1CCCC(C)(F)C1,0.8,-5.8,-7.1
COc1cc(SC)ccc1C(=O)N1CCCC(C)(OC)C1,3.6,-5.8,-7.1
COc1cc(SC)ccc1C(=O)N1CCC(C)(O)CC1,4.0,-6.0,-7.9
COc1cc(SC)ccc1C(=O)N1CCC(C(C)CO)CC1,4.3,-5.8,-7.2
COc1cc(SC)ccc1C(=O)N1CCCC(C)C1CCO,2.9,-5.5,-7.0
COc1cc(SC)ccc1C(=O)N1CCC(C)(N)CC1,3.3,-6.0,-6.8
COc1cc(SC)ccc1C(=O)N1CCCC(C)C1CCN,2.2,-5.3,-6.4
CCc1cc(OC)ccc1C(=O)N1CCCC(C)C1,-1.7,-5.7,-8.5
CCc1cc(OC)ccc1C(=O)N1CCC[C@H](C)C1,-2.7,-5.8,-7.9
COc1cc(SC)ccc1C(=O)N1CCC(=CBr)CC1,7.6,-5.3,-7.6
CCc1cc(OC)ccc1C(=O)N1CCC[C@@H](C)C1,-2.9,-5.6,-7.9
CC[C@@H]1CCCCN1C(=O)c1ccc(SC)cc1OC,0.8,-5.3,-7.6
CC[C@H]1CCCCN1C(=O)c1ccc(SC)cc1OC,1.8,-5.6,-7.2
COc1cc(C)ccc1C(=O)N1CCC[C@H](CSC)C1,-3.0,-5.3,-7.0
COc1cc(C)ccc1C(=O)N1CCC[C@@H](CSC)C1,-2.1,-5.4,-6.7
COc1cc(SC)ccc1C(=O)N1CCCC[C@@H]1CO,-0.8,-5.9,-7.3
COc1cc(SC)ccc1C(=O)N1CCCCC1CO,-1.4,-5.5,-7.2
COc1cc(SC)ccc1C(=O)N1CCC(OC)CC1C,4.2,-5.3,-6.1
CCc1c(OC)cccc1C(=O)N1CCC[C@@H](C)C1,-3.8,-5.6,-7.6
CCc1c(OC)cccc1C(=O)N1CCC[C@H](C)C1,-2.0,-5.2,-7.5
COc1cc(SC)ccc1C(=O)N1CCC(C)(CO)CC1,4.6,-5.7,-6.9
CCc1c(OC)cccc1C(=O)N1CCCC(C)C1,-3.7,-5.6,-8.4
COc1cc(Cl)ccc1C(=O)N1CCC[C@@H](CSC)C1,-2.0,-5.3,-6.9
COc1cc(Cl)ccc1C(=O)N1CCC[C@H](CSC)C1,-2.6,-5.2,-6.7
COc1cc(SC)ccc1C(=O)N1CCCC(C)(CCO)C1,4.5,-5.8,-7.0
COc1cc(C)ccc1C(=O)N1CCC[C@H](OC)C1,-3.7,-5.3,-7.2
COc1cc(C)ccc1C(=O)N1CCC[C@@H](OC)C1,-5.7,-5.3,-7.4
COc1cc(SC)ccc1C(=O)N1CCCCC1CCO,-2.1,-5.6,-7.1
COc1cc(N)ccc1C(=O)N1CCCC(OC)C1,-6.8,-5.6,-7.0
COc1cc(N)ccc1C(=O)N1CCC[C@@H](OC)C1,-6.7,-5.7,-7.0
COc1cc(N)ccc1C(=O)N1CCC[C@H](OC)C1,-3.9,-5.4,-7.2
COc1cc(Cl)ccc1C(=O)N1CCC[C@H](OC)C1,-3.2,-5.3,-6.9
COc1cc(Cl)ccc1C(=O)N1CCC[C@@H](OC)C1,-4.9,-5.2,-7.1
COc1cc(SC)ccc1C(=O)N1CCC(OC)CC1(C)C,5.0,-5.7,-5.9
COc1cc(SC)ccc1C(=O)N1CCCCC1CCN,-2.1,-5.6,-6.7
COc1cc(C)ccc1C(=O)N1CCC[C@H](C(C)C)C1,-3.1,-5.5,-7.5
COc1cc(C)ccc1C(=O)N1CCC[C@@H](C(C)C)C1,-2.2,-5.7,-7.6
COc1cc(C)ccc1C(=O)N1CCC[C@@H](CC(C)C)C1,-2.4,-5.7,-7.5
COc1cc(C)ccc1C(=O)N1CCC[C@H](CC(C)C)C1,-3.1,-5.4,-7.6
COc1cc(SC)ccc1C(=O)N1CCCCC1CCCO,-1.6,-5.6,-6.6
COc1cc(C)ccc1C(=O)N1CCCC(CF)C1,-4.8,-5.2,-7.6
COc1cc(CO)ccc1C(=O)N1CCC[C@@H](F)C1,-4.9,-5.9,-7.5
COc1cc(C)ccc1C(=O)N1CCC[C@@H](CF)C1,-4.7,-5.2,-7.5
COc1cc(Cl)ccc1C(=O)N1CCC[C@@H](C(C)C)C1,-2.1,-5.6,-7.3
COc1cc(CO)ccc1C(=O)N1CCC[C@H](F)C1,-3.7,-5.8,-7.8
COc1cc(Cl)ccc1C(=O)N1CCC[C@H](C(C)C)C1,-2.5,-5.4,-6.9
COc1cc(C)ccc1C(=O)N1CCC[C@H](CF)C1,-4.1,-5.2,-8.1
COc1cc(Cl)ccc1C(=O)N1CCC[C@H](CC(C)C)C1,-2.6,-5.5,-7.6
COc1cc(Cl)ccc1C(=O)N1CCC[C@@H](CC(C)C)C1,-2.1,-5.6,-7.3
COc1cc(SC)ccc1C(=O)N1CCC(CCN)CC1C,3.9,-5.9,-6.8
COc1cc(C)ccc1C(=O)N1CCC(C)CC1,-2.3,-5.4,-6.4
COc1cc(C)ccc1C(=O)N1C[C@H](C)C[C@H](C)C1,-3.4,-5.8,-8.5
COc1cc(C)ccc1C(=O)N1CC(C)CC(C)C1,-3.6,-5.8,-8.4
COc1cc(C)ccc1C(=O)N1C[C@H](C)C[C@@H](C)C1,-4.0,-5.7,-7.5
COc1cc(C)ccc1C(=O)N1C[C@@H](C)C[C@H](C)C1,-3.3,-5.4,-8.8
COc1cc(C)ccc1C(=O)N1CC[C@H](C)[C@H](C)C1,-2.4,-5.7,-7.7
COc1cc(C)ccc1C(=O)N1CC[C@@H](C)[C@H](C)C1,0.1,-5.3,-7.5
COc1cc(C)ccc1C(=O)N1CC[C@@H](C)[C@@H](C)C1,-0.3,-5.7,-8.2
COc1cc(C)ccc1C(=O)N1CC[C@H](C)[C@@H](C)C1,-0.6,-5.9,-7.6
COc1cc(SC)ccc1C(=O)N1CCCC(C(C)=O)C1,-0.1,-5.4,-6.7
COc1cc(SC)ccc1C(=O)N1CCC[C@@H](C(=O)O)C1,-1.6,-6.0,-7.0
COc1cc(SC)ccc1C(=O)N1CCC[C@H](C(=O)O)C1,-0.1,-5.8,-6.4
COc1cc(SC)ccc1C(=O)N1CCCC(C(=O)O)C1,-1.0,-5.9,-7.0
COc1cc(SC)ccc1C(=O)N1CCCC(C(N)=O)C1,-0.9,-5.6,-6.9
COc1cc(SC)ccc1C(=O)N1CCC[C@H](C(N)=O)C1,-0.3,-5.8,-7.9
COc1cc(SC)ccc1C(=O)N1CCC[C@@H](C(N)=O)C1,-1.0,-5.7,-7.0
COc1cc(SC)ccc1C(=O)N1CCCC(CSC)C1,1.5,-5.3,-6.4
COc1cc(SC)ccc1C(=O)N1CCCC(C#N)C1,2.1,-5.4,-7.4
COc1cc(SC)ccc1C(=O)N1CCCC(C(F)F)C1,-1.1,-5.4,-7.2
COc1cc(I)ccc1C(=O)N1CCC[C@@H](C)C1,10000,10000,10000
COc1cc(I)ccc1C(=O)N1CCC[C@H](C)C1,10000,10000,10000
COc1cc(I)ccc1C(=O)N1CCCC(C)C1,10000,10000,10000
COc1cc(C(=O)O)ccc1C(=O)N1CCC[C@H](C)C1,-3.6,-6.1,-7.9
COc1cc(C(=O)O)ccc1C(=O)N1CCCC(C)C1,-3.7,-6.4,-8.1
COc1cc(Br)ccc1C(=O)N1CCCC(C)C1,-1.9,-5.5,-7.2
COc1cc(C(=O)O)ccc1C(=O)N1CCC[C@@H](C)C1,-3.8,-6.4,-8.0
COc1cc(N(C)C)ccc1C(=O)N1CCC[C@H](C)C1,2.0,-5.8,-7.5
COc1cc(CO)ccc1C(=O)N1CCCC(C)C1,-3.1,-6.1,-8.0
COc1cc(N(C)C)ccc1C(=O)N1CCCC(C)C1,1.4,-5.9,-7.5
COc1cc(N(C)C)ccc1C(=O)N1CCC[C@@H](C)C1,1.3,-5.9,-7.6
COc1cc(C#N)ccc1C(=O)N1CCCC(C)C1,-1.1,-5.6,-7.9
COc1cc(SC)ccc1C(=O)N1CCC(C)C(CO)C1,5.1,-5.4,-7.2
COc1cc(SC)ccc1C(=O)N1C[C@@H](O)C[C@H](O)C1,0.9,-5.6,-7.6
COc1cc(SC)ccc1C(=O)N1C[C@H](O)C[C@@H](O)C1,-0.0,-5.6,-7.6
COc1cc(SC)ccc1C(=O)N1CCC(O)C(CO)C1,1.2,-6.2,-6.5
COc1cc(SC)ccc1C(=O)N1CCCC(C)(C)C1,2.4,-5.4,-7.3
COc1cc(SC)ccc1C(=O)N1CCCC(F)(F)C1,-0.0,-5.9,-7.4
COc1cc(SC)ccc1C(=O)N1CCCC(C)C1CN,2.3,-5.6,-7.2
COc1cc(N)c(F)cc1C(=O)N1CCC[C@@H](C)C1,-3.7,-5.8,-8.4
COc1cc(SC)ccc1C(=O)N1CCCC(NC(C)C)C1,1.5,-5.5,-6.6
COc1cc(SC)ccc1C(=O)N1CCCC(C(C)(C)O)C1,2.4,-5.6,-7.0
COc1cc(C)ccc1C(=O)N1CCCC(C)C1,-3.2,-5.7,-8.0
COc1cc(SC)ccc1C(=O)N1CCCCC1,-1.9,-5.2,-7.1
COc1cc(SC)ccc1C(=O)N1CCC[C@@H](OC(C)(C)C)C1,2.0,-5.7,-7.5
COc1cc(SC)ccc1C(=O)N1CCCC(OC(C)(C)C)C1,2.1,-5.6,-7.5
COc1cc(SC)ccc1C(=O)N1CCC[C@H](OC(C)(C)C)C1,2.6,-5.6,-6.5
COc1cc(Cl)ccc1C(=O)N1CCCC(C)C1,-2.8,-5.7,-8.0
COc1cc(SC)ccc1C(=O)N1CCCC(COC(F)F)C1,10000,10000,10000
COc1cc(SC)ccc1C(=O)N1CCC(OC)CC1,0.5,-5.4,-7.0
COc1ccc(C)cc1C(=O)N1CCC[C@H](C)C1,-2.7,-5.3,-7.8
COc1ccc(C)cc1C(=O)N1CCC[C@@H](C)C1,-3.5,-5.4,-8.3
COc1ccc(C)cc1C(=O)N1CCCC(C)C1,-4.2,-5.6,-8.1
COc1cc(C)c(C(=O)N2CCC[C@@H](C)C2)cc1OC,-1.3,-5.6,-7.3
COc1cc(C)c(C(=O)N2CCC[C@H](C)C2)cc1OC,0.2,-5.7,-8.1
COc1ccc(Br)cc1C(=O)N1CCC[C@@H](C)C1,-3.4,-5.6,-7.5
COc1ccc(Cl)cc1C(=O)N1CCCC(C)C1,-4.0,-5.3,-7.7
COc1ccc(F)cc1C(=O)N1CCC[C@@H](C)C1,-3.9,-5.9,-8.1
COc1ccc(F)cc1C(=O)N1CCC[C@H](C)C1,-4.0,-5.4,-7.9
COc1cc(SC)ccc1C(=O)N1CCC(CCF)CC1,2.1,-5.4,-7.6
COc1cc(SC)ccc1C(=O)N1CCC(CCO)CC1,1.4,-5.8,-7.5
COc1cc(SC)ccc1C(=O)N1CCC(OC)C(C)(C)C1,1.8,-5.6,-5.6
COc1cc(SC)ccc1C(=O)N1CCC(C(C)(C)OC)CC1,8.0,-5.5,-7.0
COc1cc(Cl)c(C(=O)N2CCC[C@H](C)C2)cc1OC,0.5,-6.0,-7.7
COc1cc(Cl)c(C(=O)N2CCC[C@@H](C)C2)cc1OC,-1.7,-5.7,-7.2
COc1cc(SC)ccc1C(=O)N1CCC(C)(C)CC1,4.8,-5.7,-7.2
COc1cc(C)c(Br)cc1C(=O)N1CCC[C@@H](C)C1,-2.2,-5.9,-7.4
COc1cc(C)c(Br)cc1C(=O)N1CCC[C@H](C)C1,-1.0,-5.5,-7.1
COc1cc(SC)ccc1C(=O)N1CCC(CC(F)F)CC1,2.0,-5.7,-7.9
COc1cc(SC)ccc1C(=O)N1CCC(F)(F)CC1,-0.0,-5.6,-7.2
COc1cc(I)c(Cl)cc1C(=O)N1CCC[C@@H](C)C1,10000,10000,10000
COc1cc(Cl)c(Br)cc1C(=O)N1CCC[C@H](C)C1,-0.8,-5.5,-7.0
COc1cc(Cl)c(Br)cc1C(=O)N1CCC[C@@H](C)C1,-3.4,-5.7,-7.3
COc1cc(CNCCc2ccc(Cl)cc2)cc(OC)c1O,-6.2,-5.3,-8.9
COc1cc(CCNCc2ccc(Cl)cc2)cc(OC)c1O,-7.0,-5.2,-9.2
COc1cc(CNCCc2ccc(Cl)cc2)cc(Cl)c1O,-5.4,-5.8,-9.5
COc1cc(CNCCc2ccc(Cl)cc2)cc(Br)c1O,-4.8,-5.8,-9.3
COc1cc(CNCCc2ccc(O)cc2)cc(OC)c1O,-6.3,-6.2,-9.0
COc1cc(CCNCc2cc(OC)c(O)c(OC)c2)ccc1Cl,-4.2,-6.0,-9.0
COc1cc(CNCCc2ccc(Cl)cc2)cc(OC)c1OC,-4.8,-5.7,-8.1
COc1cc(CNCCc2ccc(C)cc2)cc(OC)c1O,-6.1,-5.9,-9.1
COc1cc(CNCCc2cc(Cl)cc(Cl)c2)cc(OC)c1O,-3.5,-5.9,-9.0
COc1cc(CCNCc2cc(Cl)cc(Cl)c2)cc(OC)c1O,-3.0,-5.6,-9.2
COc1cc(CNCCc2ccc(F)cc2)cc(OC)c1O,-6.4,-6.1,-9.0
COc1cc(CNCCc2ccc(Br)cc2)cc(OC)c1O,-5.5,-5.8,-8.8
COc1cc(CNCCc2cccc(Cl)c2)cc(OC)c1O,-5.2,-5.8,-8.9
COc1cc(CNCCc2cc(OC)c(O)c(OC)c2)ccc1Cl,-5.3,-5.5,-9.2
COc1ccc(CNCCc2ccc(Cl)cc2)cc1O,-6.4,-5.7,-8.8
COc1cc(CNCCc2ccc(Cl)cc2Cl)cc(OC)c1O,-4.7,-6.1,-9.0
COc1ccc(CCNCc2cc(Cl)c(O)c(OC)c2)cc1,-5.0,-5.8,-9.3
COc1cc(CNCCc2ccc(Cl)c(C)c2)cc(OC)c1O,-4.7,-5.9,-9.2
COc1cc(CNCCc2cc(Cl)ccc2Cl)cc(OC)c1O,-3.4,-6.0,-9.0
COc1cc(CNCCc2ccc(C)cc2)cc(Cl)c1O,-5.7,-5.7,-9.5
COc1cc(CNCCc2ccc(Cl)cc2)cc(Cl)c1OC,-4.6,-5.8,-8.4
COc1cc(CNCCc2ccc(F)c(F)c2)cc(OC)c1O,-5.3,-6.4,-9.2
COc1cc(CCNCc2ccc(Cl)c(Cl)c2)cc(OC)c1O,-5.3,-5.4,-9.4
COc1cc(CCNCc2cc(OC)c(O)c(OC)c2)ccc1C,-3.7,-6.0,-9.3
COc1c(O)cc(CNCCc2ccc(Cl)cc2)cc1O,-6.4,-5.2,-9.4
COc1cc(CNCCc2ccc(F)cc2)cc(Cl)c1O,-5.9,-5.8,-9.4
COc1cc(CCNCc2cccc(Cl)c2)cc(OC)c1O,-5.4,-5.7,-9.2
COc1cc(CNCCc2ccc(Cl)cc2)cc(F)c1F,-6.1,-5.8,-9.5
COc1cc(CCNCc2ccc(Cl)cc2Cl)cc(OC)c1O,-5.8,-5.9,-9.4
COc1cc(CCNCc2cc(C)cc(Cl)c2)cc(OC)c1O,-3.1,-5.6,-9.3
COc1cc(CNCCc2ccc(C)c(C)c2)cc(OC)c1O,-4.6,-6.0,-9.4
COc1cc(CNCCc2cc(Cl)ccc2Br)cc(OC)c1O,-3.2,-6.0,-9.0
COc1ccc(CNCCc2cc(OC)c(O)c(OC)c2)cc1,-6.2,-5.5,-9.1
COc1cc(CCNCc2ccc(C)cc2)cc(OC)c1O,-7.1,-5.3,-9.3
COc1cc(CCNCc2ccc(Cl)cc2)cc(O)c1OC,-7.0,-5.3,-8.9
COc1cc(CCNCc2ccc(C)c(Cl)c2)cc(OC)c1O,-5.4,-5.3,-9.6
COc1cc(CCNCc2ccc(Cl)c(C)c2)cc(OC)c1O,-5.2,-5.7,-9.6
COc1cc(CNCCc2ccc(Cl)cc2)cc(Br)c1OC,-3.2,-5.8,-8.5
COc1cc(CCNCc2cc(Cl)ccc2Cl)cc(OC)c1O,-4.3,-6.0,-9.3
COc1cc(CNCCc2ccc(F)c(C)c2)cc(OC)c1O,-4.6,-6.0,-9.3
COc1cc(CNCCc2ccc(Cl)cc2)cc(OC)c1,-6.4,-5.7,-8.5
COc1cc(O)cc(CNCCc2ccc(Cl)cc2)c1,-7.2,-5.8,-9.7
COc1cc(CNCCc2c(Cl)cccc2Cl)cc(OC)c1O,-2.1,-6.1,-8.9
COc1cc(CCNCc2ccc(F)c(F)c2)cc(OC)c1O,-6.4,-6.3,-9.3
COc1cc(CNCCc2ccc(F)c(F)c2)cc(Cl)c1O,-5.5,-6.1,-9.7
COc1cc(CCNCc2cc(Cl)ccc2F)cc(OC)c1O,-5.1,-5.4,-9.3
COc1cc(CCNCc2ccc(Cl)cc2C)cc(OC)c1O,-6.0,-5.5,-9.5
COc1cc(CNCCc2cc(OC)c(O)c(OC)c2)ccc1C,-4.4,-5.6,-9.3
COc1cc(CCNCc2ccc(F)cc2)cc(OC)c1O,-7.1,-6.0,-9.1
COc1cc(CNCCc2ccccc2Cl)cc(OC)c1O,-4.8,-6.0,-8.9
CCOc1cc(CNCCc2ccc(Cl)cc2)ccc1OC,-6.0,-5.7,-8.7
COc1cc(CNCCc2cc(C)cc(C)c2)cc(OC)c1O,-2.8,-6.0,-9.1
COc1cc(CNCCc2cc(C)c(O)c(C)c2)cc(OC)c1O,-1.9,-6.1,-9.4
COc1cc(CNCCc2cc(OC)c(O)c(OC)c2)cc(OC)c1,-2.0,-6.2,-8.9
COc1cc(CCNCc2cc(C)cc(C)c2)cc(OC)c1O,-3.5,-5.6,-9.4
COc1cc(CNCCc2ccc(Cl)cc2Cl)cc(Cl)c1O,-4.5,-6.1,-9.7
COc1cc(CNCCc2cccc(Cl)c2)cc(Cl)c1O,-4.7,-5.8,-9.5
COc1cc(CCNCc2ccc(Cl)cc2F)cc(OC)c1O,-7.1,-5.4,-9.3
COc1cc(CCNCc2c(Cl)cccc2Cl)cc(OC)c1O,-1.7,-6.2,-9.2
COc1cc(CCNCc2ccc(C)c(C)c2)cc(OC)c1O,-5.3,-4.9,-9.7
COc1cc(CNCCc2ccc(O)cc2)ccc1Cl,-7.2,-5.0,-9.1
COc1cc(CNCCc2ccc(OC(C)C)cc2)cc(Cl)c1O,-4.2,-6.0,-9.7
COc1cc(CNCCc2ccc(F)c(C)c2)cc(Cl)c1O,-5.2,-5.9,-9.8
COc1cc(CNCCc2ccc(C)cc2)cc(Br)c1O,-4.9,-5.7,-9.5
COc1cc(CNCCc2ccc(O)cc2)cc(Cl)c1OC,-4.4,-5.4,-8.8
COc1cc(CNCCc2ccc(O)cc2)cc(OC)c1OC,-4.8,-5.7,-8.8
COc1cc(CNCCc2ccc(O)cc2)cc(OC)c1C,-3.9,-5.0,-9.1
COc1cc(CCNCc2ccccc2Cl)cc(OC)c1O,-5.8,-5.9,-9.1
COc1cc(CNCCc2cccc(C)c2)cc(OC)c1O,-5.4,-5.8,-9.1
COc1cc(CNCCc2ccc(OCCO)cc2)cc(Cl)c1O,-3.5,-5.9,-9.2
COc1cc(CNCCc2cccc(Cl)c2Cl)cc(OC)c1O,-3.9,-5.3,-9.0
COc1cc(OC)c(CNCCc2ccc(Cl)cc2)c(OC)c1,-5.0,-5.5,-8.4
COc1cc(CNCCc2cccc(Cl)c2)cc(Br)c1O,-3.9,-5.7,-9.4
COc1cc(CNCCc2cc(F)ccc2F)cc(OC)c1O,-5.1,-6.0,-9.1
COc1cccc(CCNCc2ccc(Cl)cc2)c1O,-7.3,-4.9,-8.9
COc1cc(CNCCc2cccc(F)c2)cc(OC)c1O,-6.1,-6.0,-8.9
COc1cc(CNCCc2cccc(Br)c2)cc(OC)c1O,-4.5,-5.8,-9.0
COc1cc(CNCCc2ccc(Br)cc2Cl)cc(OC)c1O,-4.3,-6.0,-9.0
COc1cc(CCNCc2cccc(O)c2)cc(OC)c1O,-6.0,-6.3,-9.3
COc1cc(CNCCc2ccccc2O)cc(OC)c1O,-6.2,-6.3,-8.9
COc1cc(CNCCc2c(C)cccc2C)cc(OC)c1O,-2.8,-6.1,-9.1
COc1cc(CCNCc2ccc(C)cc2Cl)cc(OC)c1O,-5.8,-5.5,-9.4
COc1cc(CNCCc2c(Cl)cccc2Cl)cc(Cl)c1O,-2.7,-6.0,-9.1
COc1cc(CCNCc2ccc(C)c(Br)c2)cc(OC)c1O,-4.7,-5.4,-9.6
COc1cc(CCNCc2cc(O)ccc2Cl)cc(OC)c1O,-5.1,-6.3,-9.4
COc1cc(CNCCc2ccc(CO)cc2)cc(Cl)c1OC,-4.4,-5.9,-8.7
COc1cc(CNCCc2cc(F)cc(F)c2)cc(Cl)c1O,-5.6,-5.6,-9.6
COc1ccc(CNCCc2cc(Cl)cc(Cl)c2)cc1OC,-5.1,-5.8,-8.8
COc1cc(CNCCc2cccc(C)c2)cc(Cl)c1O,-4.6,-5.7,-9.5
COc1cc(CNCCc2cccc(Cl)c2F)cc(OC)c1O,-5.1,-6.0,-9.2
COc1cc(CNCCc2ccc(C)c(C#N)c2)cc(OC)c1O,-4.3,-5.6,-9.4
COc1cccc(CCNCc2cc(Cl)c(O)c(OC)c2)c1,-4.9,-5.9,-9.3
COc1cc(CNCCc2c(F)cccc2Cl)cc(OC)c1O,-3.8,-6.2,-9.0
COc1cc(CCNCc2cc(F)cc(Cl)c2)ccc1O,-5.6,-6.0,-9.6
COc1ccc(OC)c(CNCCc2ccc(Cl)cc2)c1,-6.2,-5.5,-8.4
COc1ccc(CNCCc2ccc(Cl)cc2)c(OC)c1,-5.6,-4.9,-8.4
COc1ccc(CNCCc2cc(Cl)cc(Cl)c2)cc1O,-6.0,-5.2,-8.8
COc1cc(CNCCc2ccccc2)cc(Cl)c1O,-6.0,-5.7,-9.2
COc1cc(CNCCc2cccc(CO)c2)cc(Cl)c1O,-5.0,-6.0,-9.4
COc1cc(CNCCc2cccc(F)c2)cc(Cl)c1O,-5.4,-5.7,-9.4
COc1ccc(CNCCc2cc(C)c(O)c(C)c2)cc1OC,-5.0,-6.0,-9.6
COc1cc(CNCCc2cccc(C#N)c2)cc(Cl)c1O,-4.6,-5.4,-9.3
COc1ccc(CNCCc2ccc(O)c(OC)c2)cc1O,-6.2,-5.5,-9.4
COc1ccc(CCNCc2ccc(F)c(O)c2)cc1OC,-5.5,-5.2,-9.5
COc1cc(CNCCc2cccc(Cl)c2)ccc1C,-4.6,-5.4,-9.0
COc1cc(CNCCc2cccc(Cl)c2)ccc1F,-5.4,-4.7,-9.1
COc1ccc(CNCCc2ccc(Cl)c(C)c2)cc1OC,-4.6,-5.9,-9.1
COc1cc(CNCCc2cccc(CO)c2)ccc1Cl,-6.9,-5.2,-9.6
COc1ccc(CNCCc2ccc(C)c(Cl)c2)cc1O,-5.5,-5.1,-9.4
COc1ccc(CNCCc2ccc(Cl)c(C)c2)cc1O,-5.9,-5.0,-9.2
COc1ccc(CCNCc2ccc(F)c(F)c2)cc1OC,-5.9,-5.6,-9.3
COc1ccc(CCNCc2ccc(O)c(F)c2)cc1OC,-5.9,-5.7,-9.5
COc1cc(CCNCc2cccc(O)c2)ccc1O,-6.4,-5.8,-9.4
COc1ccc(CNCCc2ccc(C#N)cc2)cc1OC,-6.3,-4.9,-8.7
COc1cc(CNCCc2cccc(C)c2)ccc1Cl,-6.4,-4.6,-9.1
COc1cccc(CNCCc2ccc(Cl)c(OC)c2)c1,-6.2,-5.6,-9.1
COc1cc(O)cc(CNCCc2ccc(F)c(Cl)c2)c1,-5.9,-6.3,-9.8
CCOc1cc(CNCCc2ccc(C(F)(F)F)cc2)cc(Cl)c1O,-3.6,-5.8,-10.2
COc1cc(O)cc(CNCCc2ccc(OC)c(C)c2)c1,-5.1,-5.9,-9.7
COc1ccc(CNCCc2cccc(CO)c2)cc1OC,-5.3,-5.9,-9.2
COc1ccc(CNCCc2ccc(O)cc2)c(OC)c1,-5.6,-5.0,-8.6
COc1cc(CNCCc2cccc(F)c2)ccc1Cl,-6.8,-5.4,-9.1
COc1cc(CNCCc2cccc(Cl)c2)ccc1C#N,-6.2,-5.6,-8.9
COc1ccc(CNCCc2ccc(C)c(C)c2)cc1O,-5.7,-5.2,-9.5
COc1cc(CNCCc2ccc(O)c(OC)c2)cc(C(F)(F)F)c1,-4.4,-6.5,-9.6
COc1cc(O)cc(CNCCc2ccc(OC)c(F)c2)c1,-6.7,-6.1,-9.7
CNc1cccc(CNCCc2ccc(O)c(OC)c2)c1,-6.0,-5.1,-9.0
COc1ccc(CNCCc2ccc(F)c(Br)c2)cc1OC,-5.2,-5.8,-9.1
COc1ccc(CNCCc2ccc(O)cc2)c(Br)c1O,-5.1,-6.4,-9.5
COc1ccc(CNCCc2ccc(CO)cc2)c(Br)c1O,-5.0,-5.2,-9.8
COc1cc(CNCCc2cccc(CO)c2)ccc1C,-6.8,-5.3,-9.8
COc1ccc(CNCCc2ccc(C)cc2)c(Br)c1O,-5.4,-5.2,-9.8
COc1ccc(CNCCc2ccc(OC)c(OC)c2)cc1C#N,-3.8,-5.6,-9.0
COc1ccc(CNCCc2ccc(F)c(C)c2)cc1C,-5.1,-4.9,-9.4
COc1cccc(CNCCc2ccc(OC)c(OC)c2)c1,-5.1,-5.5,-8.9
COc1cc(CNCCc2ccc(O)cc2)cc(C(F)(F)F)c1,-6.7,-6.5,-9.5
COc1cc(CNCCc2cccc(C)c2)ccc1C,-4.7,-4.7,-9.2
COc1cccc(CNCCc2ccc(O)cc2)c1OC,-5.7,-5.1,-8.8
COc1ccc(CNCCc2ccc(CO)cc2)c(Cl)c1,-5.7,-5.0,-9.3
COc1cc(CNC[C@H](C)c2ccccc2)cc(Cl)c1O,-4.9,-6.0,-9.6
COc1cc(CNCCc2ccc(C#N)c(C)c2)cc(OC)c1OC,-3.1,-5.8,-9.1
COc1cc(CNCCc2ccc(C)c(C#N)c2)cc(OC)c1OC,-2.9,-5.9,-9.0
COc1cc(O)cc(CNCCc2ccc(F)c(C)c2)c1,-5.9,-6.2,-9.9
COc1cc(CNC[C@@H](C)c2ccccc2)cc(Cl)c1O,-5.5,-6.2,-9.5
COc1cccc(CCNCc2ccc(C)c(O)c2)c1O,-7.4,-5.2,-9.3
COc1cccc(CNCCc2ccc(C)c(OC)c2)c1,-6.4,-4.6,-9.2
Oc1cc(Cl)cc(CNCCc2ccc(F)c(F)c2)c1,-7.5,-6.4,-9.7
COc1cccc(CNCCc2ccc(CO)cc2)c1,-6.9,-4.9,-9.2
COc1cc(CNCCc2cccc(F)c2)ccc1C,-5.5,-4.9,-9.2
COc1cccc(CNCCc2cccc(Cl)c2)c1OC,-5.7,-4.6,-8.3
COc1cc(Cl)cc(CNCCc2cccc(C)c2)c1,-5.3,-5.7,-9.0
COc1cc(CCNCc2cccc(N)c2)ccc1C,-6.8,-4.9,-9.4
COc1cc(CNCCc2ccccc2)c(F)cc1Cl,-5.1,-5.3,-8.9
COc1cc(C)cc(CNCCc2cccc(Cl)c2)c1,-5.2,-5.7,-9.1
COc1ccc(CNCCc2ccc(Cl)cc2F)cc1C#N,-6.2,-5.9,-9.1
COc1ccc(CNCCc2ccc(C)c(C#N)c2)cc1O,-6.0,-5.1,-9.4
COc1ccc(CNCCc2ccc(C#N)cc2)c(Br)c1O,-5.0,-5.1,-9.2
