Ligand,Vina_Score,Vinardo_Score,Best_Score,Category
ligand_391,-7.415,-6.982,-7.415,GOOD
ligand_392,-7.373,-6.331,-7.373,GOOD
ligand_393,-6.358,-4.424,-6.358,OTHERS
ligand_394,-7.328,-5.345,-7.328,GOOD
ligand_395,-9.059,-7.106,-9.059,EXCELLENT
ligand_396,-7.878,-6.216,-7.878,GOOD
ligand_397,-6.989,-6.043,-6.989,OTHERS
ligand_398,-4.781,-4.181,-4.781,OTHERS
ligand_399,-6.168,-5.709,-6.168,OTHERS
ligand_39,-6.444,-4.631,-6.444,OTHERS
ligand_3,-7.277,-5.207,-7.277,GOOD
ligand_40,-6.901,-6.106,-6.901,OTHERS
ligand_41,-6.604,-4.942,-6.604,OTHERS
ligand_42,-6.641,-5.679,-6.641,OTHERS
ligand_43,-7.836,-5.825,-7.836,GOOD
ligand_44,-6.213,-5.282,-6.213,OTHERS
ligand_45,-4.963,-4.225,-4.963,OTHERS
ligand_46,-6.204,-4.404,-6.204,OTHERS
ligand_47,-6.017,-3.817,-6.017,OTHERS
ligand_48,-6.302,-5.086,-6.302,OTHERS
ligand_49,-6.716,-5.571,-6.716,OTHERS
ligand_4,-6.764,-5.456,-6.764,OTHERS
ligand_50,-6.985,-6.424,-6.985,OTHERS
ligand_51,-6.243,-4.343,-6.243,OTHERS
ligand_52,-6.043,-5.13,-6.043,OTHERS
ligand_53,-7.553,-5.174,-7.553,GOOD
ligand_54,-6.958,-5.242,-6.958,OTHERS
ligand_55,-5.622,-3.868,-5.622,OTHERS
ligand_56,-6.551,-5.198,-6.551,OTHERS
ligand_57,-6.708,-5.92,-6.708,OTHERS
ligand_58,-5.389,-4.352,-5.389,OTHERS
ligand_59,-6.297,-4.918,-6.297,OTHERS
ligand_5,-6.982,-5.352,-6.982,OTHERS
ligand_60,-5.79,-4.619,-5.79,OTHERS
ligand_61,-8.326,-6.787,-8.326,GOOD
ligand_62,-7.509,-5.606,-7.509,GOOD
ligand_63,-6.34,-3.427,-6.34,OTHERS
ligand_64,-5.246,-4.882,-5.246,OTHERS
ligand_65,-6.259,-5.272,-6.259,OTHERS
ligand_66,-6.102,-4.761,-6.102,OTHERS
ligand_67,-5.834,-4.532,-5.834,OTHERS
ligand_68,-6.735,-4.941,-6.735,OTHERS
ligand_69,-6.704,-5.536,-6.704,OTHERS
ligand_6,-5.664,-4.32,-5.664,OTHERS
ligand_70,-6.075,-4.293,-6.075,OTHERS
ligand_71,-6.602,-5.027,-6.602,OTHERS
ligand_72,-7.29,-5.607,-7.29,GOOD
ligand_73,-7.599,-5.62,-7.599,GOOD
ligand_74,-6.28,-5.219,-6.28,OTHERS
ligand_75,-5.84,-5.487,-5.84,OTHERS
ligand_76,-7.073,-5.255,-7.073,GOOD
ligand_77,-6.011,-4.725,-6.011,OTHERS
ligand_78,-6.841,-5.146,-6.841,OTHERS
ligand_79,-6.975,-6.037,-6.975,OTHERS
ligand_7,-5.417,-4.677,-5.417,OTHERS
ligand_80,-5.597,-4.985,-5.597,OTHERS
ligand_81,-7.161,-4.76,-7.161,GOOD
ligand_82,-6.344,-5.142,-6.344,OTHERS
ligand_83,-6.919,-5.403,-6.919,OTHERS
ligand_84,-7.996,-5.702,-7.996,GOOD
ligand_85,-6.499,-5.538,-6.499,OTHERS
ligand_86,-7.252,-5.4,-7.252,GOOD
ligand_87,-7.177,-4.96,-7.177,GOOD
ligand_88,-6.417,-5.245,-6.417,OTHERS
ligand_89,-5.612,-4.68,-5.612,OTHERS
ligand_8,-7.338,-5.599,-7.338,GOOD
ligand_90,-6.911,-5.677,-6.911,OTHERS
ligand_91,-6.014,-5.358,-6.014,OTHERS
ligand_92,-6.77,-4.921,-6.77,OTHERS
ligand_93,-6.909,-5.056,-6.909,OTHERS
ligand_94,-6.432,-4.771,-6.432,OTHERS
ligand_95,-5.773,-4.656,-5.773,OTHERS
ligand_96,-6,-4.889,-6,OTHERS
ligand_97,-6.159,-5.211,-6.159,OTHERS
ligand_98,-6.735,-5.955,-6.735,OTHERS
ligand_99,-5.942,-4.934,-5.942,OTHERS
ligand_9,-6.474,-5.594,-6.474,OTHERS
