smile,PfDHFR,PfATP4,PfCRT,rrs_score,rrs_class
CC(C)=CCc1c(O)cc2c(c1O)C(=O)C[C@@H](c1ccccc1)O2,12.0,-7.0,-10.6,8.8,A
COc1ccc([C@@H]2CC(=O)c3c(O)cc(O)c(CC=C(C)C)c3O2)cc1O,0.8,-7.1,-7.7,7.4,B
CC(C)=CCc1c(O)cc(O)c2c1O[C@H](c1ccc(O)cc1)CC2=O,-2.6,-7.5,-9.1,8.3,A
COc1ccc([C@@H]2CC(=O)c3c(cc(OC)c(O)c3OC)O2)cc1,0.7,-7.0,-10.2,8.6,A
CC(C)=CCc1c(O)cc(O)c2c1O[C@H](c1ccccc1)CC2=O,-3.3,-7.4,-9.4,8.4,A
COc1c(O)cc2c(c1O)C(=O)C[C@@H](c1ccc(O)cc1)O2,2.3,-7.4,-9.5,8.45,A
CC(C)=CCc1c(O)cc(O)c2c1O[C@H](c1ccc(O)cc1O)CC2=O,-0.9,-8.0,-9.2,8.6,A
COc1cc(O)c(CC=C(C)C)c2c1C(=O)[C@H](O)[C@@H](c1ccc(O)cc1)O2,-0.4,-7.4,-8.5,7.95,B
C=C[C@@H](C)Oc1cc(O)cc2c1C(=O)C[C@@H](c1ccccc1)O2,1.2,-7.0,-9.3,8.15,A
COc1cc(O)c2c(c1)O[C@H](c1ccc(O)cc1O)CC2=O,-3.6,-7.2,-10.1,8.65,A
O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21,-4.8,-7.4,-11.7,9.55,A
O=C1C[C@@H](c2ccccc2)Oc2cc(O)cc(O)c21,-6.1,-7.1,-11.6,9.35,A
Cc1cc(O)c2c(c1)O[C@H](c1ccc(O)cc1)CC2=O,-4.0,-7.0,-10.2,8.6,A
COc1ccc([C@@H]2CC(=O)c3c(cc(O)c(CC=C(C)C)c3O)O2)cc1,2.3,-7.0,-9.8,8.4,A
COc1ccc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc1O,-4.2,-7.0,-8.7,7.85,B
COc1cc(O)c2c(c1)O[C@H](c1cc(O)cc(O)c1)CC2=O,-2.1,-7.4,-9.9,8.65,A
COc1cc(O)c2c(c1C)O[C@H](c1ccccc1)CC2=O,-3.8,-7.2,-9.0,8.1,A
Cc1c(O)cc2c(c1O)C(=O)C[C@@H](c1ccc(O)cc1)O2,-1.1,-7.7,-10.2,8.95,A
COc1cc2c(cc1O)O[C@H](c1ccccc1)[C@@H](O)C2=O,-2.6,-7.0,-8.8,7.9,B
Cc1c(O)c(C)c2c(c1O)C(=O)C[C@@H](c1ccc(O)cc1)O2,0.3,-7.1,-9.8,8.45,A
Cc1c(O)cc(O)c2c1O[C@H](c1ccc(O)cc1)CC2=O,-3.9,-7.2,-10.5,8.85,A
CC(C)=CCOc1cc(O)c2c(c1)O[C@H](c1ccc(O)cc1)[C@@H](O)C2=O,1.5,-7.5,-10.9,9.2,A
COc1cc(C(=O)C=Cc2ccc(O)cc2)c(OC)cc1O,-2.4,-7.0,-9.9,8.45,A
COc1cc(C(=O)C=Cc2ccc(O)c(F)c2)c(OC)cc1O,-1.1,-7.3,-10.1,8.7,A
CNC(=O)c1c[nH]c2ccc(C)cc2c1=O,-7.9,-5.8,-8.5,8.2,A
CCOc1ccc2[nH]cc(CC)c(=O)c2c1,-7.0,-5.4,-7.7,7.35,B
CCc1c[nH]c2ccc(OC)cc2c1=O,-8.0,-5.1,-7.4,7.7,B
CCONC(=O)c1c[nH]c2ccccc2c1=O,-7.0,-5.6,-8.1,7.55,B
Cc1ccc(CNCC(O)c2ccccc2)cc1,-7.0,-4.9,-9.1,8.05,A
Oc1ccc(CNCC(O)c2ccccc2)cc1,-7.6,-5.9,-9.2,8.399999999999999,A
Oc1ccc(CNC[C@@H](O)c2ccccc2)cc1,-7.0,-5.9,-9.2,8.1,A
OCc1ccc(CNC[C@H](O)c2ccccc2)cc1,-7.6,-5.9,-9.2,8.399999999999999,A
CCc1ccc(CNC[C@H](O)c2ccc(C)cc2)cc1,-7.2,-5.1,-9.2,8.2,A
CCc1ccc(CNC[C@H](O)c2ccc(Cl)cc2)cc1,-7.0,-5.1,-9.0,8.0,A
CCc1ccc(CNC[C@H](O)c2ccc(F)cc2)cc1,-7.1,-5.1,-8.9,8.0,A
Cc1cccc(CNC[C@H](O)c2ccccc2)c1,-7.0,-4.8,-9.1,8.05,A
Cc1cccc(CNCC(O)c2ccccc2)c1,-7.0,-4.8,-9.1,8.05,A
Cc1cccc(CNC[C@@H](O)c2ccccc2)c1,-7.1,-4.6,-9.2,8.149999999999999,A
CCc1ccc(CNCC(O)c2ccc(F)c(F)c2)cc1,-7.0,-6.1,-9.5,8.25,A
OCc1cccc(CNC[C@H](O)c2ccccc2)c1,-7.5,-5.3,-9.4,8.45,A
OCc1cccc(CNCC(O)c2ccccc2)c1,-7.6,-5.1,-9.7,8.649999999999999,A
OCc1cccc(CNC[C@@H](O)c2ccccc2)c1,-7.5,-5.0,-9.7,8.6,A
CCc1cccc(CNCC(O)c2ccc(C)cc2)c1,-7.0,-4.6,-9.6,8.3,A
Cc1ccc(CNCC(O)c2cccc(F)c2)cc1,-7.2,-5.0,-9.3,8.25,A
Oc1ccc(CNCC(O)c2cccc(F)c2)cc1,-7.6,-5.9,-9.5,8.55,A
O[C@H](CNCc1ccc(F)cc1)c1cccc(Cl)c1,-7.2,-4.9,-9.3,8.25,A
Cc1ccc([C@@H](O)CNCc2cccc(F)c2)cc1,-7.4,-5.0,-9.3,8.350000000000001,A
Cc1ccc([C@H](O)CNCc2cccc(F)c2)cc1,-7.0,-4.8,-9.0,8.0,A
CCC(NC[C@H](O)c1ccccc1)c1cccc(F)c1,-7.2,-5.8,-9.3,8.25,A
CCc1ccc(C(O)CNCc2ccc(O)cc2)cc1,-7.5,-4.9,-9.1,8.3,A
O=C(O)c1ccc(CNC[C@H](O)c2ccccc2)cc1,-8.5,-5.6,-9.6,9.05,A
O=C(O)c1ccc(CNCC(O)c2ccccc2)cc1,-7.7,-5.4,-9.5,8.6,A
O=C(O)c1ccc(CNC[C@@H](O)c2ccccc2)cc1,-7.7,-5.4,-9.5,8.6,A
NC(=O)c1ccc(CNCC(O)c2ccccc2)cc1,-7.3,-5.4,-9.4,8.35,A
NC(=O)c1ccc(CNC[C@H](O)c2ccccc2)cc1,-8.1,-6.0,-9.5,8.8,A
NC(=O)c1ccc(CNC[C@@H](O)c2ccccc2)cc1,-7.3,-5.4,-9.4,8.35,A
Cc1cc(F)cc(CNCC(O)c2ccccc2)c1,-7.1,-6.2,-9.4,8.25,A
CCc1ccc(C(O)CNCc2ccc(O)c(F)c2)cc1,-7.5,-6.3,-9.6,8.55,A
