sig_id,pert_id,pert_iname,cell_id,pert_idose,pert_itime
AML001_CD34_24H:BRD-K49071277:0.37037,BRD-K49071277,securinine,CD34,500 nM,24 h
AML001_CD34_24H:BRD-K49071277:1.11111,BRD-K49071277,securinine,CD34,1 µM,24 h
AML001_CD34_24H:BRD-K49071277:10,BRD-K49071277,securinine,CD34,10 µM,24 h
AML001_CD34_24H:BRD-K49071277:3.33333,BRD-K49071277,securinine,CD34,3 µM,24 h
AML001_CD34_24H:BRD-K53325797:0.37037,BRD-K53325797,BRD-K53325797,CD34,500 nM,24 h
AML001_CD34_24H:BRD-K53325797:1.11111,BRD-K53325797,BRD-K53325797,CD34,1 µM,24 h
AML001_CD34_24H:BRD-K53325797:10,BRD-K53325797,BRD-K53325797,CD34,10 µM,24 h
AML001_CD34_24H:BRD-K53325797:3.33333,BRD-K53325797,BRD-K53325797,CD34,3 µM,24 h
AML001_CD34_24H:BRD-K57391913:0.37037,BRD-K57391913,iloprost,CD34,500 nM,24 h
AML001_CD34_24H:BRD-K57391913:1.11111,BRD-K57391913,iloprost,CD34,1 µM,24 h
AML001_CD34_24H:BRD-K57391913:10,BRD-K57391913,iloprost,CD34,10 µM,24 h
AML001_CD34_24H:BRD-K57391913:3.33333,BRD-K57391913,iloprost,CD34,3 µM,24 h
AML001_CD34_24H:BRD-K63513868:0.37037,BRD-K63513868,BRD-K63513868,CD34,500 nM,24 h
AML001_CD34_24H:BRD-K63513868:1.11111,BRD-K63513868,BRD-K63513868,CD34,1 µM,24 h
AML001_CD34_24H:BRD-K63513868:10,BRD-K63513868,BRD-K63513868,CD34,10 µM,24 h
AML001_CD34_24H:BRD-K63513868:3.33333,BRD-K63513868,BRD-K63513868,CD34,3 µM,24 h
AML001_CD34_24H:BRD-K64302725:0.37037,BRD-K64302725,KUC105208,CD34,500 nM,24 h
AML001_CD34_24H:BRD-K64302725:1.11111,BRD-K64302725,KUC105208,CD34,1 µM,24 h
AML001_CD34_24H:BRD-K64302725:10,BRD-K64302725,KUC105208,CD34,10 µM,24 h
AML001_CD34_24H:BRD-K64302725:3.33333,BRD-K64302725,KUC105208,CD34,3 µM,24 h
AML001_CD34_24H:BRD-K64877338:0.37037,BRD-K64877338,BRD-K64877338,CD34,500 nM,24 h
AML001_CD34_24H:BRD-K64877338:1.11111,BRD-K64877338,BRD-K64877338,CD34,1 µM,24 h
AML001_CD34_24H:BRD-K64877338:10,BRD-K64877338,BRD-K64877338,CD34,10 µM,24 h
AML001_CD34_24H:BRD-K64877338:3.33333,BRD-K64877338,BRD-K64877338,CD34,3 µM,24 h
AML001_CD34_24H:BRD-K65971331:0.37037,BRD-K65971331,BRD-K65971331,CD34,500 nM,24 h
AML001_CD34_24H:BRD-K65971331:1.11111,BRD-K65971331,BRD-K65971331,CD34,1 µM,24 h
AML001_CD34_24H:BRD-K65971331:10,BRD-K65971331,BRD-K65971331,CD34,10 µM,24 h
AML001_CD34_24H:BRD-K65971331:3.33333,BRD-K65971331,BRD-K65971331,CD34,3 µM,24 h
AML001_CD34_24H:BRD-K68552125:0.37037,BRD-K68552125,phorbol-myristate-acetate,CD34,500 nM,24 h
AML001_CD34_24H:BRD-K68552125:1.11111,BRD-K68552125,phorbol-myristate-acetate,CD34,1 µM,24 h
AML001_CD34_24H:BRD-K68552125:10,BRD-K68552125,phorbol-myristate-acetate,CD34,10 µM,24 h
AML001_CD34_24H:BRD-K68552125:3.33333,BRD-K68552125,phorbol-myristate-acetate,CD34,3 µM,24 h
AML001_CD34_24H:BRD-K71879491:0.37037,BRD-K71879491,tretinoin,CD34,500 nM,24 h
AML001_CD34_24H:BRD-K71879491:1.11111,BRD-K71879491,tretinoin,CD34,1 µM,24 h
AML001_CD34_24H:BRD-K71879491:10,BRD-K71879491,tretinoin,CD34,10 µM,24 h
AML001_CD34_24H:BRD-K71879491:3.33333,BRD-K71879491,tretinoin,CD34,3 µM,24 h
AML001_CD34_24H:BRD-K74176882:0.37037,BRD-K74176882,BRD-K74176882,CD34,500 nM,24 h
AML001_CD34_24H:BRD-K74176882:1.11111,BRD-K74176882,BRD-K74176882,CD34,1 µM,24 h
AML001_CD34_24H:BRD-K74176882:10,BRD-K74176882,BRD-K74176882,CD34,10 µM,24 h
AML001_CD34_24H:BRD-K74176882:3.33333,BRD-K74176882,BRD-K74176882,CD34,3 µM,24 h
AML001_CD34_24H:BRD-K80368509:0.37037,BRD-K80368509,BRD-K80368509,CD34,500 nM,24 h
AML001_CD34_24H:BRD-K80368509:1.11111,BRD-K80368509,BRD-K80368509,CD34,1 µM,24 h
AML001_CD34_24H:BRD-K80368509:10,BRD-K80368509,BRD-K80368509,CD34,10 µM,24 h
AML001_CD34_24H:BRD-K80368509:3.33333,BRD-K80368509,BRD-K80368509,CD34,3 µM,24 h
AML001_CD34_24H:BRD-K85822033:0.37037,BRD-K85822033,BRD-K85822033,CD34,500 nM,24 h
AML001_CD34_24H:BRD-K85822033:1.11111,BRD-K85822033,BRD-K85822033,CD34,1 µM,24 h
AML001_CD34_24H:BRD-K85822033:10,BRD-K85822033,BRD-K85822033,CD34,10 µM,24 h
AML001_CD34_24H:BRD-K85822033:3.33333,BRD-K85822033,BRD-K85822033,CD34,3 µM,24 h
AML001_CD34_24H:BRD-K93754473:0.49846,BRD-K93754473,tamoxifen,CD34,500 nM,24 h
AML001_CD34_24H:BRD-K93754473:1.49538,BRD-K93754473,tamoxifen,CD34,1 µM,24 h
AML001_CD34_24H:BRD-K93754473:13.4584,BRD-K93754473,tamoxifen,CD34,10 µM,24 h
AML001_CD34_24H:BRD-K93754473:4.48614,BRD-K93754473,tamoxifen,CD34,5 µM,24 h
AML001_CD34_24H:BRD-K95149906:0.37037,BRD-K95149906,BRD-K95149906,CD34,500 nM,24 h
AML001_CD34_24H:BRD-K95149906:1.11111,BRD-K95149906,BRD-K95149906,CD34,1 µM,24 h
AML001_CD34_24H:BRD-K95149906:10,BRD-K95149906,BRD-K95149906,CD34,10 µM,24 h
AML001_CD34_24H:BRD-K95149906:3.33333,BRD-K95149906,BRD-K95149906,CD34,3 µM,24 h
AML001_CD34_6H:BRD-A03772856:0.37037,BRD-A03772856,BRD-A03772856,CD34,500 nM,6 h
AML001_CD34_6H:BRD-A03772856:1.11111,BRD-A03772856,BRD-A03772856,CD34,1 µM,6 h
AML001_CD34_6H:BRD-A03772856:10,BRD-A03772856,BRD-A03772856,CD34,10 µM,6 h
AML001_CD34_6H:BRD-A03772856:3.33333,BRD-A03772856,BRD-A03772856,CD34,3 µM,6 h
AML001_CD34_6H:BRD-A19037878:0.37037,BRD-A19037878,trichostatin-a,CD34,500 nM,6 h
