Ligand,Vina_Score,Vinardo_Score,Best_Score,Category
ligand_215,-4.905,-3.847,-4.905,OTHERS
ligand_216,-4.203,-3.254,-4.203,OTHERS
ligand_217,-4.036,-3.347,-4.036,OTHERS
ligand_218,-3.733,-3.208,-3.733,OTHERS
ligand_219,-3.54,-2.672,-3.54,OTHERS
ligand_21,-4.006,-2.779,-4.006,OTHERS
ligand_220,-4.338,-3.261,-4.338,OTHERS
ligand_221,-4.38,-3.259,-4.38,OTHERS
ligand_222,-4.559,-3.122,-4.559,OTHERS
ligand_223,-3.939,-3.052,-3.939,OTHERS
ligand_224,-4.179,-3.335,-4.179,OTHERS
ligand_225,-3.415,-2.601,-3.415,OTHERS
ligand_226,-4.179,-2.691,-4.179,OTHERS
ligand_227,-3.822,-2.913,-3.822,OTHERS
ligand_228,-3.854,-3.366,-3.854,OTHERS
ligand_229,-4.162,-3.424,-4.162,OTHERS
ligand_22,-4.915,-3.635,-4.915,OTHERS
ligand_230,-4.404,-3.233,-4.404,OTHERS
ligand_231,-4.956,-3.77,-4.956,OTHERS
ligand_232,-4.052,-3.075,-4.052,OTHERS
ligand_233,-4.887,-3.837,-4.887,OTHERS
ligand_234,-3.361,-2.481,-3.361,OTHERS
