centroid_id,best_target,best_score,best_exhaustiveness,best_tag,tag,pfDHFR,pfCRT,pfATP4,pfClpP
289,pfCRT,-7.839,64,original,original,-7.499,-7.839,-7.471,-4.548
290,pfCRT,-8.26,64,original,original,-7.737,-8.26,-6.73,-4.235
291,pfCRT,-9.51,64,original,original,-9.343,-9.51,-8.053,-5.493
292,pfCRT,-8.31,64,original,original,-7.141,-8.31,-6.258,-4.203
293,pfCRT,-8.66,64,original,original,-7.81,-8.66,-6.731,-4.793
294,pfCRT,-8.291,64,original,original,-7.544,-8.291,-6.443,-5.239
295,pfCRT,-9.332,64,original,original,-8.042,-9.332,-6.584,-4.574
296,pfCRT,-8.262,64,original,original,-7.158,-8.262,-7.455,-4.372
297,pfCRT,-8.608,64,original,original,-6.906,-8.608,-7.335,-4.421
298,pfCRT,-8.828,64,original,original,-6.083,-8.828,-7.873,-4.589
299,pfCRT,-7.756,64,original,original,-6.191,-7.756,-5.968,-4.307
300,pfCRT,-7.024,64,original,original,-6.011,-7.024,-5.977,-4.427
301,pfCRT,-5.889,64,original,original,-5.847,-5.889,-5.675,-3.765
302,pfCRT,-8.752,64,original,original,-7.452,-8.752,-7.157,-5.088
303,pfCRT,-7.389,64,original,original,-6.779,-7.389,-5.533,-4.443
304,pfCRT,-8.035,64,original,original,-6.492,-8.035,-6.468,-4.568
305,pfCRT,-8.574,64,original,original,-7.137,-8.574,-7.555,-4.751
306,pfCRT,-8.862,64,original,original,-6.324,-8.862,-6.067,-3.879
307,pfCRT,-6.703,64,original,original,-6.572,-6.703,-5.705,-3.706
308,pfCRT,-8.982,64,original,original,-8.01,-8.982,-6.293,-4.522
309,pfCRT,-8.928,64,original,original,-8.332,-8.928,-6.878,-4.228
310,pfCRT,-8.811,64,original,original,-7.974,-8.811,-7.046,-4.796
311,pfCRT,-8.336,64,original,original,-7.346,-8.336,-7.053,-4.528
312,pfCRT,-10.561,64,original,original,-8.327,-10.561,-7.197,-4.711
313,pfCRT,-10.625,64,original,original,-9.063,-10.625,-7.595,-4.636
314,pfCRT,-10.32,64,original,original,-8.648,-10.32,-7.894,-4.796
315,pfCRT,-8.658,64,original,original,-8.647,-8.658,-6.81,-4.467
316,pfCRT,-6.75,64,original,original,-5.758,-6.75,-6.167,-4.264
317,pfATP4,-7.095,64,original,original,-3.987,-4.942,-7.095,-4.029
318,pfCRT,-6.591,64,original,original,-6.324,-6.591,-5.726,-4.281
319,pfCRT,-5.975,64,original,original,-5.851,-5.975,-5.062,-3.983
320,pfATP4,-6.007,32,rerun,mixed,,,-6.007,
321,pfCRT,-9.373,64,original,original,-8.062,-9.373,-6.328,-4.319
322,pfCRT,-8.463,64,original,original,-7.743,-8.463,-6.714,-4.646
323,pfCRT,-8.253,64,original,original,-7.301,-8.253,-6.244,-4.281
324,pfCRT,-8.961,64,original,original,-7.517,-8.961,-6.46,-5.044
325,pfCRT,-9.068,64,original,original,-6.697,-9.068,-7.532,-4.377
326,pfCRT,-9.309,64,original,original,-8.927,-9.309,-6.52,-4.301
327,pfCRT,-7.231,64,original,original,-7.006,-7.231,-6.377,-3.982
328,pfCRT,-9.177,64,original,original,-7.445,-9.177,-6.83,-5.152
329,pfCRT,-7.317,64,original,original,-6.518,-7.317,-5.66,-4.37
330,pfCRT,-9.147,64,original,original,-7.761,-9.147,-6.216,-4.721
331,pfCRT,-6.991,64,original,original,-6.205,-6.991,-5.67,-4.549
332,pfCRT,-10.527,64,original,original,,-10.527,-7.712,
333,pfCRT,-8.737,64,original,original,-7.926,-8.737,-7.398,-4.292
334,pfCRT,-6.595,64,original,original,-6.131,-6.595,-5.512,-3.914
335,pfCRT,-8.218,64,original,original,-6.145,-8.218,-7.343,-4.761
336,pfCRT,-7.628,64,original,original,-6.413,-7.628,-6.477,-3.947
337,pfCRT,-8.228,64,original,original,-6.504,-8.228,-7.799,-4.658
338,pfATP4,-7.95,64,original,original,-6.003,-7.834,-7.95,-4.423
