Ligand,Vina_Score,Vinardo_Score,Best_Score,Category
ligand_393,-6.324,-4.793,-6.324,OTHERS
ligand_394,-5.383,-3.882,-5.383,OTHERS
ligand_395,-5.542,-4.966,-5.542,OTHERS
ligand_396,-5.048,-4.443,-5.048,OTHERS
ligand_397,-5.8,-4.222,-5.8,OTHERS
ligand_398,-5.137,-3.909,-5.137,OTHERS
ligand_399,-5.336,-4.7,-5.336,OTHERS
ligand_39,-5.063,-4.236,-5.063,OTHERS
ligand_3,-4.89,-3.871,-4.89,OTHERS
ligand_401,-5.589,-3.905,-5.589,OTHERS
ligand_402,-5.435,-4.179,-5.435,OTHERS
ligand_403,-5.399,-4.126,-5.399,OTHERS
ligand_404,-4.882,-4.465,-4.882,OTHERS
ligand_405,-5.111,-4.305,-5.111,OTHERS
ligand_406,-5.012,-4.129,-5.012,OTHERS
ligand_407,-4.834,-3.52,-4.834,OTHERS
ligand_408,-2.415,-2.376,-2.415,OTHERS
ligand_409,-5.342,-4.295,-5.342,OTHERS
ligand_410,-5.008,-4.365,-5.008,OTHERS
ligand_411,-3.757,-3.257,-3.757,OTHERS
ligand_412,-5.206,-4.083,-5.206,OTHERS
ligand_413,-5.274,-3.374,-5.274,OTHERS
ligand_414,-5.126,-4.572,-5.126,OTHERS
ligand_416,-5.282,-3.899,-5.282,OTHERS
ligand_417,-5.085,-4.157,-5.085,OTHERS
ligand_418,-5.303,-4.107,-5.303,OTHERS
ligand_419,-4.84,-4.204,-4.84,OTHERS
ligand_41,-5.54,-4.589,-5.54,OTHERS
ligand_420,-5.4,-4.135,-5.4,OTHERS
ligand_421,-4.846,-4.057,-4.846,OTHERS
ligand_422,-4.761,-3.951,-4.761,OTHERS
ligand_423,-5.275,-4.571,-5.275,OTHERS
ligand_424,-5.627,-3.849,-5.627,OTHERS
ligand_425,-5.523,-4.055,-5.523,OTHERS
ligand_426,-5.114,-4.501,-5.114,OTHERS
ligand_428,-5.927,-4.281,-5.927,OTHERS
ligand_429,-5.552,-4.373,-5.552,OTHERS
ligand_42,-5.583,-4.694,-5.583,OTHERS
ligand_430,-5.534,-4.711,-5.534,OTHERS
ligand_431,-5.297,-4.531,-5.297,OTHERS
ligand_433,-4.834,-4.283,-4.834,OTHERS
ligand_434,-5.424,-4.301,-5.424,OTHERS
ligand_435,-4.552,-4.143,-4.552,OTHERS
ligand_436,-5.346,-3.805,-5.346,OTHERS
ligand_437,-5.744,-4.547,-5.744,OTHERS
ligand_438,-5.713,-4.68,-5.713,OTHERS
ligand_439,-6.115,-4.745,-6.115,OTHERS
ligand_440,-4.736,-4.161,-4.736,OTHERS
ligand_441,-5.159,-4.336,-5.159,OTHERS
ligand_442,-4.819,-4.139,-4.819,OTHERS
ligand_443,-4.877,-4.107,-4.877,OTHERS
ligand_445,-5.413,-4.41,-5.413,OTHERS
ligand_446,-5.628,-4.339,-5.628,OTHERS
ligand_447,-5.375,-4.759,-5.375,OTHERS
ligand_448,-4.783,-3.165,-4.783,OTHERS
ligand_449,-4.624,-4.304,-4.624,OTHERS
ligand_44,-4.516,-3.913,-4.516,OTHERS
ligand_450,-5.387,-4.135,-5.387,OTHERS
ligand_451,-4.589,-3.173,-4.589,OTHERS
ligand_452,-5.083,-4.92,-5.083,OTHERS
ligand_453,-5.059,-4.954,-5.059,OTHERS
ligand_454,-5.672,-4.399,-5.672,OTHERS
ligand_455,-5.518,-4.457,-5.518,OTHERS
ligand_456,-5.155,-4.57,-5.155,OTHERS
ligand_457,-4.938,-3.79,-4.938,OTHERS
ligand_458,-4.732,-4.419,-4.732,OTHERS
ligand_459,-5.625,-3.877,-5.625,OTHERS
ligand_45,-4.974,-3.514,-4.974,OTHERS
ligand_461,-4.922,-3.632,-4.922,OTHERS
ligand_462,-4.75,-4.001,-4.75,OTHERS
ligand_463,-6.095,-5.055,-6.095,OTHERS
ligand_464,-5.691,-4.758,-5.691,OTHERS
ligand_465,-3.939,-3.282,-3.939,OTHERS
ligand_466,-5.354,-5.048,-5.354,OTHERS
ligand_467,-5.198,-3.81,-5.198,OTHERS
ligand_468,-5.785,-4.041,-5.785,OTHERS
ligand_469,-5.317,-4.463,-5.317,OTHERS
ligand_46,-5.508,-4.925,-5.508,OTHERS
ligand_470,-5.881,-4.475,-5.881,OTHERS
ligand_471,-5.46,-4.287,-5.46,OTHERS
ligand_472,-5.457,-4.152,-5.457,OTHERS
ligand_473,-4.622,-3.68,-4.622,OTHERS
ligand_474,-5.93,-3.542,-5.93,OTHERS
ligand_475,-5.122,-4.092,-5.122,OTHERS
ligand_48,-6.901,-4.788,-6.901,OTHERS
ligand_49,-5.962,-4.536,-5.962,OTHERS
ligand_4,-5.996,-4.363,-5.996,OTHERS
ligand_50,-6.128,-4.492,-6.128,OTHERS
ligand_51,-5.7,-3.96,-5.7,OTHERS
ligand_52,-5.558,-4.384,-5.558,OTHERS
ligand_53,-4.775,-3.919,-4.775,OTHERS
ligand_54,-4.765,-4.033,-4.765,OTHERS
ligand_55,-4.904,-4.005,-4.904,OTHERS
ligand_56,-5.43,-4.742,-5.43,OTHERS
ligand_57,-5.218,-4.172,-5.218,OTHERS
ligand_58,-5.269,-4.093,-5.269,OTHERS
ligand_59,-5.69,-4.131,-5.69,OTHERS
ligand_5,-5.875,-5.066,-5.875,OTHERS
ligand_60,-5.314,-4.527,-5.314,OTHERS
ligand_61,-5.308,-4.866,-5.308,OTHERS
ligand_62,-4.921,-4.024,-4.921,OTHERS
ligand_63,-5.327,-4.844,-5.327,OTHERS
ligand_64,-5.07,-4.28,-5.07,OTHERS
ligand_65,-4.34,-3.875,-4.34,OTHERS
